Campus,Building ID,Building Name,Floor,Room Number,Room Area,Room Description,Room Category,Room Type
Clayton,92,Learning and Teaching Building,01,136,81.23,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,137,82.97,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,138,168.61,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (31 to 69 seats)                                                    
Clayton,92,Learning and Teaching Building,01,139,5.46,Kitchen,General Facility                                                                                ,Kitchen/Servery/Food Storage                                                                    
Clayton,92,Learning and Teaching Building,01,140,2.97,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,141,210.78,Interactive Larg,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (>70 seats)                                                         
Clayton,92,Learning and Teaching Building,01,142,34.7,Meeting room,General Facility                                                                                ,Meeting/Board/Conference Room                                                                   
Clayton,92,Learning and Teaching Building,01,143,115.55,Education (FOE) ,Office Accommodation                                                                            ,Reception Area                                                                                  
Clayton,92,Learning and Teaching Building,01,144,126.44,Library,Library and Informal Learning                                                                   ,Departmental/Reference Library                                                                  
Clayton,92,Learning and Teaching Building,01,144A,21.42,Library store,Library and Informal Learning                                                                   ,Closed Stack/Reserve Collections                                                                
Clayton,92,Learning and Teaching Building,01,144B,8.46,Library entrance,Ancillary Areas                                                                                 ,Locker Area/Room                                                                                
Clayton,92,Learning and Teaching Building,01,145,33.61,Wellness room,General Facility                                                                                ,General Common Room                                                                             
Clayton,92,Learning and Teaching Building,01,145A,9.83,Store,Ancillary Areas                                                                                 ,Store Room/Storage Space                                                                        
Clayton,92,Learning and Teaching Building,01,151A,8.74,Quiet room,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,151B,8.73,Quiet room,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,151C,12.17,Utility room,General Facility                                                                                ,Resource Room                                                                                   
Clayton,92,Learning and Teaching Building,01,151D,6.29,Store,Ancillary Areas                                                                                 ,Store Room/Storage Space                                                                        
Clayton,92,Learning and Teaching Building,01,151E,4.94,Store,Ancillary Areas                                                                                 ,Store Room/Storage Space                                                                        
Clayton,92,Learning and Teaching Building,01,151F,3.3,Breakout,General Facility                                                                                ,Staff Common Room                                                                               
Clayton,92,Learning and Teaching Building,01,152,16.57,Meeting room,General Facility                                                                                ,Meeting/Board/Conference Room                                                                   
Clayton,92,Learning and Teaching Building,01,153,16.33,Meeting room,General Facility                                                                                ,Meeting/Board/Conference Room                                                                   
Clayton,92,Learning and Teaching Building,01,154,6.74,Quiet room,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,155A,7.84,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,155B,7.5,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,155C,8.65,Meeting room,General Facility                                                                                ,Meeting/Board/Conference Room                                                                   
Clayton,92,Learning and Teaching Building,01,155D,2.62,Utility bay,General Facility                                                                                ,Resource Room                                                                                   
Clayton,92,Learning and Teaching Building,01,156A,8.92,Meeting room,General Facility                                                                                ,Meeting/Board/Conference Room                                                                   
Clayton,92,Learning and Teaching Building,01,156B,7.69,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,156C,7.66,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,156D,8.24,Quiet room,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,157A,15.56,Kitchenette,General Facility                                                                                ,Kitchen/Servery/Food Storage                                                                    
Clayton,92,Learning and Teaching Building,01,158A,45.84,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,158B,8.64,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,158C,8.68,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,158D,22.23,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,158E,7.57,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,158F,7.73,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,158G,7.69,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,158H,7.43,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,158I,7.44,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,158J,21.91,Collaborative,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,158K,4.82,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,159A,7.44,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,159B,7.44,Focus room,Office Accommodation                                                                            ,Hot Desk                                                                                        
Clayton,92,Learning and Teaching Building,01,159C,16.8,Collaborative,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,159D,7.82,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,159E,57.71,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,160A,7.81,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,160B,7.74,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,160C,7.74,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,161A,7.62,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,161B,7.93,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,161C,7.43,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,161D,35.36,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,161E,8.47,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,161F,7.64,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,161G,7.73,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,162A,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,162B,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,162D,22.77,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,162E,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,162F,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,163A,7.57,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,163B,21.04,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,163C,7.54,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,163D,7.47,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,163E,7.46,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,163F,7.54,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,163G,7.57,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,164A,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,164B,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,164C,34.91,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,164D,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,164E,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,165A,7.57,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,165B,21.04,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,165C,7.54,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,165D,7.47,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,165E,7.46,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,165F,7.54,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,165G,7.57,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,166A,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,166B,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,166C,35.55,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,166D,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,166E,7.44,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,167A,7.57,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,167B,19.87,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,167C,7.54,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,167D,7.47,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,167E,7.46,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,167F,7.54,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,167G,7.57,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,167H,2.57,Teapoint,General Facility                                                                                ,Kitchen/Servery/Food Storage                                                                    
Clayton,92,Learning and Teaching Building,01,168A,7.46,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,168B,7.9,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,168C,32.8,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,168D,7.72,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,168E,7.47,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,169A,7.46,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,169B,7.47,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,169C,7.72,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,170A,8.03,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,170B,7.57,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,170C,37.85,Workstations,Office Accommodation                                                                            ,Open Plan - Academic Staff                                                                      
Clayton,92,Learning and Teaching Building,01,170D,7.57,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,170E,7.51,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,170F,7.53,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,170G,7.39,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,170H,7.72,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,170I,7.59,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,171A,7.64,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,171B,5.76,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,171C,7.38,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,171D,7.53,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,171E,7.51,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,172A,8.78,Meeting room,General Facility                                                                                ,Meeting/Board/Conference Room                                                                   
Clayton,92,Learning and Teaching Building,01,172B,31.73,Workstations,Office Accommodation                                                                            ,Open Plan - Professional/General Staff                                                          
Clayton,92,Learning and Teaching Building,01,172C,6.7,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,172D,11.37,Collaborative,Office Accommodation                                                                            ,Informal Work Space                                                                             
Clayton,92,Learning and Teaching Building,01,172E,7.53,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,172F,7.48,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,172G,7.48,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,172H,7.33,Focus room,Office Accommodation                                                                            ,Office - Academic Staff                                                                         
Clayton,92,Learning and Teaching Building,01,172I,13.5,Utility room,General Facility                                                                                ,Resource Room                                                                                   
Clayton,92,Learning and Teaching Building,01,181A,10.78,Workgroup room (,Library and Informal Learning                                                                   ,Small Group Study Room                                                                          
Clayton,92,Learning and Teaching Building,01,181B,11.89,Workgroup room (,Library and Informal Learning                                                                   ,Small Group Study Room                                                                          
Clayton,92,Learning and Teaching Building,01,181C,10.71,Workgroup room (,Library and Informal Learning                                                                   ,Small Group Study Room                                                                          
Clayton,92,Learning and Teaching Building,01,181D,35.33,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,181E,9.16,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,182,79.53,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,183,80.22,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,183A,12.03,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,184A,20.81,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,184B,7.28,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,185,70,Interactive,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,185A,8.06,Informal study,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,01,186,81.29,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,187,79.73,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,188,79.73,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,189,85.66,Collaborative,General Teaching Space                                                                          ,Seminar/Tutorial/Class Room (<30 seats)                                                         
Clayton,92,Learning and Teaching Building,01,190,56.06,Informal study (,Library and Informal Learning                                                                   ,Informal Learning                                                                               
Clayton,92,Learning and Teaching Building,02,2-AM01,1.6,Cleaners rm,Non Useable Floor area                                                                          ,Cleaners Room                                                                                   
Clayton,92,Learning and Teaching Building,02,2-AM02,5.47,Cleaners rm,Non Useable Floor area                                                                          ,Cleaners Room                                                                                   
Clayton,92,Learning and Teaching Building,02,2-LF01,3.28,Lift 1,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,02,2-LF02,3.28,Lift 2,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,02,2-LF03,3.28,Lift 3,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,02,2-LF04,3.28,Lift 4,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,02,2-LF05,3.28,Lift 5,Non Useable Floor area                                                                          ,Lift                                                                                            
Clayton,92,Learning and Teaching Building,02,2-PL01,6.83,Services rm,Non Useable Floor area                                                                          ,Comms Network System/Telephone PABX                                                             
Clayton,92,Learning and Teaching Building,02,2-PS01,405.27,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,02,2-PS02,214.61,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,02,2-PS03,109.84,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,02,2-PS04,119.86,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,02,2-PS05,34.78,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,02,2-PS06,401.46,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,02,2-PS07,12.94,Circulation,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,02,2-PS08,33.87,Lift lobby,Non Useable Floor area                                                                          ,Circulation Space                                                                               
Clayton,92,Learning and Teaching Building,02,2-ST01,43.02,Stair 1 - fire,Non Useable Floor area                                                                          ,Circulation - Fire Stairs                                                                       
Clayton,92,Learning and Teaching Building,02,2-ST02,33.12,Stair 2,Non Useable Floor area                                                                          ,Circulation - Stairs                                                                            
