"Timestamp","FCU-00-16  CO2 Extended Trend Log","FCU-00-16 SaTmp Extended Trend Log","FCU-00-15  ClgTmpSp Extended Trend Log","FCU-00-16  HtgTmpSp Extended Trend Log","FCU-00-16 ZnTmp Extended Trend Log"
"24/03/2020 2:15:35 PM","574.80","15.98","23.00","22.00","24.91"
"24/03/2020 2:10:35 PM","581.60","15.85","23.00","22.00","24.91"
"24/03/2020 2:05:35 PM","569.20","15.72","23.00","22.00","24.91"
"24/03/2020 2:00:35 PM","571.80","15.75","23.00","22.00","24.91"
"24/03/2020 1:55:35 PM","574.80","15.90","23.00","22.00","24.91"
"24/03/2020 1:50:35 PM","572.20","15.97","23.00","22.00","24.91"
"24/03/2020 1:45:35 PM","571.60","15.58","23.00","22.00","24.91"
"24/03/2020 1:40:35 PM","576.00","15.62","23.00","22.00","24.91"
"24/03/2020 1:35:35 PM","576.80","15.31","23.00","22.00","24.91"
"24/03/2020 1:30:35 PM","572.60","15.37","23.00","22.00","24.91"
"24/03/2020 1:25:35 PM","573.00","15.72","23.00","22.00","24.91"
"24/03/2020 1:20:35 PM","566.80","16.26","23.00","22.00","24.91"
"24/03/2020 1:15:35 PM","564.40","17.19","23.00","22.00","24.91"
"24/03/2020 1:10:35 PM","569.60","17.79","23.00","22.00","24.91"
"24/03/2020 1:05:35 PM","573.40","17.77","23.00","22.00","24.91"
"24/03/2020 1:00:35 PM","571.20","17.20","23.00","22.00","24.91"
"24/03/2020 12:55:35 PM","562.00","16.98","23.00","22.00","24.91"
"24/03/2020 12:50:35 PM","563.00","16.53","23.00","22.00","24.91"
"24/03/2020 12:45:35 PM","566.20","16.33","23.00","22.00","24.91"
"24/03/2020 12:40:35 PM","568.40","16.23","23.00","22.00","24.91"
"24/03/2020 12:35:35 PM","555.40","18.16","23.00","22.00","24.91"
"24/03/2020 12:30:35 PM","562.20","16.06","23.00","22.00","24.91"
"24/03/2020 12:25:35 PM","562.80","16.40","23.00","22.00","24.91"
"24/03/2020 12:20:35 PM","566.40","17.26","23.00","22.00","24.91"
"24/03/2020 12:15:35 PM","566.00","15.34","23.00","22.00","24.91"
"24/03/2020 12:10:35 PM","552.00","19.25","23.00","22.00","24.91"
"24/03/2020 12:05:35 PM","555.60","16.69","23.00","22.00","24.91"
"24/03/2020 12:00:35 PM","567.20","15.21","23.00","22.00","24.91"
"24/03/2020 11:55:35 AM","560.20","17.42","23.00","22.00","24.91"
"24/03/2020 11:50:35 AM","546.80","15.10","23.00","22.00","24.91"
"24/03/2020 11:45:35 AM","542.60","16.41","23.00","22.00","24.91"
"24/03/2020 11:40:35 AM","549.20","17.68","23.00","22.00","24.91"
"24/03/2020 11:35:35 AM","549.60","15.61","23.00","22.00","24.91"
"24/03/2020 11:30:35 AM","551.60","19.58","23.00","22.00","24.91"
"24/03/2020 11:25:35 AM","561.60","19.55","23.00","22.00","24.91"
"24/03/2020 11:20:35 AM","544.60","19.54","23.00","22.00","24.91"
"24/03/2020 11:15:35 AM","551.20","19.46","23.00","22.00","24.91"
