"Timestamp","FCU-00-05  PIR Log","FCU-00-05  Status Log","FCU-00-05 Enable Log"
"22/03/2020 12:15:06 AM","0.00","1.00","0.00"
"22/03/2020 12:15:05 AM","0.00","0.00","0.00"
"22/03/2020 12:15:04 AM","0.00","1.00","0.00"
"21/03/2020 11:43:59 PM","0.00","1.00","1.00"
"21/03/2020 6:57:28 AM","1.00","1.00","1.00"
"21/03/2020 6:54:40 AM","1.00","1.00","1.00"
"21/03/2020 6:54:39 AM","1.00","0.00","1.00"
"21/03/2020 6:53:51 AM","1.00","1.00","1.00"
"21/03/2020 6:53:50 AM","1.00","0.00","1.00"
"21/03/2020 6:50:17 AM","1.00","1.00","1.00"
"21/03/2020 6:50:14 AM","1.00","0.00","1.00"
"21/03/2020 6:44:01 AM","1.00","0.00","0.00"
"21/03/2020 1:15:00 AM","0.00","0.00","0.00"
"21/03/2020 1:14:58 AM","0.00","1.00","0.00"
"21/03/2020 1:14:56 AM","0.00","1.00","0.00"
"21/03/2020 1:14:55 AM","0.00","0.00","0.00"
"21/03/2020 1:14:54 AM","0.00","1.00","0.00"
"21/03/2020 12:43:44 AM","0.00","1.00","1.00"
"21/03/2020 12:09:08 AM","1.00","1.00","1.00"
"20/03/2020 11:44:02 PM","0.00","1.00","1.00"
"20/03/2020 6:06:06 PM","1.00","1.00","1.00"
"20/03/2020 6:06:04 PM","1.00","0.00","1.00"
"20/03/2020 6:00:22 PM","1.00","0.00","0.00"
"20/03/2020 6:00:21 PM","1.00","1.00","0.00"
"20/03/2020 6:00:20 PM","1.00","0.00","0.00"
"20/03/2020 6:00:19 PM","1.00","0.00","0.00"
"20/03/2020 6:00:18 PM","1.00","0.00","0.00"
"20/03/2020 6:00:14 PM","1.00","1.00","0.00"
"20/03/2020 2:31:46 PM","1.00","1.00","1.00"
"20/03/2020 2:31:45 PM","1.00","0.00","1.00"
"20/03/2020 2:28:35 PM","1.00","1.00","1.00"
"20/03/2020 2:26:09 PM","1.00","1.00","1.00"
"20/03/2020 2:24:41 PM","1.00","1.00","1.00"
"20/03/2020 2:24:21 PM","1.00","1.00","1.00"
"20/03/2020 2:24:20 PM","1.00","0.00","1.00"
"20/03/2020 2:24:15 PM","1.00","1.00","1.00"
"20/03/2020 2:24:14 PM","1.00","0.00","1.00"
"20/03/2020 2:24:03 PM","1.00","1.00","1.00"
"20/03/2020 2:24:02 PM","1.00","0.00","1.00"
"20/03/2020 2:23:54 PM","1.00","1.00","1.00"
"20/03/2020 2:23:49 PM","1.00","1.00","1.00"
"20/03/2020 2:19:44 PM","1.00","1.00","1.00"
"20/03/2020 2:19:43 PM","1.00","0.00","1.00"
"20/03/2020 2:19:19 PM","1.00","1.00","1.00"
"20/03/2020 2:18:33 PM","1.00","1.00","1.00"
"20/03/2020 6:42:46 AM","1.00","1.00","1.00"
"20/03/2020 6:39:29 AM","0.00","1.00","1.00"
