"Timestamp","FCU-00-23 CO2 Extended Trend Log","FCU-00-23 SaTmp Extended Trend Log","FCU-00-23 ClgTmpSp Extended Trend Log","FCU-00-23 HtgTmpSp Extended Trend Log","FCU-00-23 ZnTmp Extended Trend Log"
"24/03/2020 4:15:35 PM","585.60","22.28","25.00","21.00","20.25"
"24/03/2020 4:10:35 PM","592.80","22.28","25.00","21.00","20.25"
"24/03/2020 4:05:35 PM","590.80","22.29","25.00","21.00","20.25"
"24/03/2020 4:00:35 PM","592.80","22.29","25.00","21.00","20.25"
"24/03/2020 3:55:35 PM","587.20","22.28","25.00","21.00","20.25"
"24/03/2020 3:50:35 PM","588.60","22.28","25.00","21.00","20.25"
"24/03/2020 3:45:35 PM","589.80","22.28","25.00","21.00","20.25"
"24/03/2020 3:40:35 PM","583.20","22.27","25.00","21.00","20.25"
"24/03/2020 3:35:35 PM","588.00","22.27","25.00","21.00","20.25"
"24/03/2020 3:30:35 PM","588.20","22.27","25.00","21.00","20.25"
"24/03/2020 3:25:35 PM","589.20","22.27","25.00","21.00","20.25"
"24/03/2020 3:20:35 PM","589.60","22.26","25.00","21.00","20.25"
"24/03/2020 3:15:35 PM","595.20","22.26","25.00","21.00","20.25"
"24/03/2020 3:10:35 PM","586.60","22.26","25.00","21.00","20.25"
"24/03/2020 3:05:35 PM","591.80","22.26","25.00","21.00","20.25"
"24/03/2020 3:00:35 PM","595.00","22.25","25.00","21.00","20.25"
"24/03/2020 2:55:35 PM","589.60","22.25","25.00","21.00","20.25"
"24/03/2020 2:50:35 PM","591.80","22.24","25.00","21.00","20.25"
"24/03/2020 2:45:35 PM","586.40","22.24","25.00","21.00","20.25"
"24/03/2020 2:40:35 PM","589.20","22.23","25.00","21.00","20.25"
"24/03/2020 2:35:35 PM","588.00","22.23","25.00","21.00","20.25"
"24/03/2020 2:30:35 PM","591.20","22.22","25.00","21.00","20.25"
"24/03/2020 2:25:35 PM","592.20","22.22","25.00","21.00","20.25"
"24/03/2020 2:20:35 PM","596.80","22.23","25.00","21.00","20.25"
"24/03/2020 2:15:35 PM","595.60","22.26","25.00","21.00","20.25"
"24/03/2020 2:10:35 PM","596.60","22.31","25.00","21.00","20.25"
"24/03/2020 2:05:35 PM","596.80","22.42","25.00","21.00","20.25"
"24/03/2020 2:00:35 PM","599.40","22.38","24.00","21.00","20.25"
"24/03/2020 1:55:35 PM","590.60","22.30","24.00","21.00","20.25"
"24/03/2020 1:50:35 PM","593.80","22.26","24.00","21.00","20.25"
"24/03/2020 1:45:35 PM","600.20","22.17","24.00","21.00","20.25"
"24/03/2020 1:40:35 PM","597.20","22.09","24.00","21.00","20.25"
"24/03/2020 1:35:35 PM","596.00","21.99","24.00","21.00","20.25"
"24/03/2020 1:30:35 PM","596.00","21.98","24.00","21.00","20.25"
"24/03/2020 1:25:35 PM","603.00","21.66","25.00","21.00","20.25"
"24/03/2020 1:20:35 PM","594.80","21.65","25.00","21.00","20.25"
"24/03/2020 1:15:35 PM","598.40","21.64","25.00","21.00","20.25"
"24/03/2020 1:10:35 PM","598.00","21.63","25.00","21.00","20.25"
"24/03/2020 1:05:35 PM","601.60","21.61","25.00","21.00","20.25"
"24/03/2020 1:00:35 PM","595.60","21.60","25.00","21.00","20.25"
"24/03/2020 12:55:35 PM","599.60","21.59","25.00","21.00","20.25"
"24/03/2020 12:50:35 PM","600.80","21.57","25.00","21.00","20.25"
"24/03/2020 12:45:35 PM","597.80","21.56","25.00","21.00","20.25"
