"Timestamp","FCU-00-18 PIR Log","FCU-00-18Enable Log"
"17/03/2020 11:12:30 AM","0.00","1.00"
"17/03/2020 11:12:20 AM","0.00","0.00"
"17/03/2020 11:11:20 AM","0.00","1.00"
"17/03/2020 11:11:10 AM","0.00","0.00"
"17/03/2020 9:27:00 AM","0.00","1.00"
"17/03/2020 9:26:30 AM","0.00","0.00"
"17/03/2020 9:25:20 AM","0.00","1.00"
"16/03/2020 11:15:20 AM","0.00","0.00"
"16/03/2020 11:15:10 AM","0.00","1.00"
"16/03/2020 11:13:30 AM","0.00","0.00"
"16/03/2020 11:12:50 AM","0.00","1.00"
"16/03/2020 11:10:20 AM","0.00","0.00"
"16/03/2020 11:09:50 AM","0.00","1.00"
"16/03/2020 11:07:20 AM","0.00","0.00"
"16/03/2020 11:06:50 AM","0.00","1.00"
"16/03/2020 11:05:40 AM","0.00","0.00"
"16/03/2020 11:05:00 AM","0.00","1.00"
"16/03/2020 11:03:40 AM","0.00","0.00"
"16/03/2020 11:03:00 AM","0.00","1.00"
"16/03/2020 11:02:00 AM","0.00","0.00"
"16/03/2020 11:01:20 AM","0.00","1.00"
"16/03/2020 11:00:50 AM","0.00","0.00"
"16/03/2020 11:00:10 AM","0.00","1.00"
"16/03/2020 10:59:30 AM","0.00","0.00"
"16/03/2020 10:59:00 AM","0.00","1.00"
"16/03/2020 10:58:10 AM","0.00","0.00"
"16/03/2020 10:57:40 AM","0.00","1.00"
"16/03/2020 10:57:00 AM","0.00","0.00"
"16/03/2020 10:56:30 AM","0.00","1.00"
"16/03/2020 10:55:40 AM","0.00","0.00"
"16/03/2020 10:55:00 AM","0.00","1.00"
"16/03/2020 10:54:10 AM","0.00","0.00"
"16/03/2020 10:53:30 AM","0.00","1.00"
"16/03/2020 10:53:10 AM","0.00","0.00"
"16/03/2020 10:52:30 AM","0.00","1.00"
"16/03/2020 10:52:20 AM","0.00","0.00"
"16/03/2020 10:51:10 AM","0.00","1.00"
"16/03/2020 10:50:40 AM","0.00","0.00"
"16/03/2020 10:49:50 AM","0.00","1.00"
"16/03/2020 10:49:10 AM","0.00","0.00"
"16/03/2020 10:48:30 AM","0.00","1.00"
"16/03/2020 10:48:20 AM","0.00","0.00"
"16/03/2020 10:48:10 AM","0.00","1.00"
"16/03/2020 10:48:00 AM","0.00","0.00"
"16/03/2020 10:47:30 AM","0.00","1.00"
"16/03/2020 10:47:00 AM","0.00","0.00"
"16/03/2020 10:46:10 AM","0.00","1.00"
"16/03/2020 10:45:50 AM","0.00","0.00"
"16/03/2020 10:44:20 AM","0.00","1.00"
"16/03/2020 10:44:00 AM","0.00","0.00"
"16/03/2020 10:43:20 AM","0.00","1.00"
"16/03/2020 10:42:50 AM","0.00","0.00"
"16/03/2020 10:42:00 AM","0.00","1.00"
"16/03/2020 10:41:20 AM","0.00","0.00"
"16/03/2020 10:40:40 AM","0.00","1.00"
"16/03/2020 10:40:10 AM","0.00","0.00"
"16/03/2020 10:39:10 AM","0.00","1.00"
"16/03/2020 10:39:00 AM","0.00","0.00"
"16/03/2020 10:37:20 AM","0.00","1.00"
"16/03/2020 10:37:10 AM","0.00","0.00"
"16/03/2020 10:36:30 AM","0.00","1.00"
"16/03/2020 10:36:00 AM","0.00","0.00"
"16/03/2020 10:34:50 AM","0.00","1.00"
"16/03/2020 10:34:30 AM","0.00","0.00"
"16/03/2020 10:33:50 AM","0.00","1.00"
"16/03/2020 10:33:40 AM","0.00","0.00"
"16/03/2020 10:33:30 AM","0.00","1.00"
"16/03/2020 10:33:10 AM","0.00","0.00"
"16/03/2020 10:32:30 AM","0.00","1.00"
"16/03/2020 10:31:50 AM","0.00","0.00"
"16/03/2020 10:31:20 AM","0.00","1.00"
"16/03/2020 10:31:10 AM","0.00","0.00"
"16/03/2020 10:31:00 AM","0.00","1.00"
"16/03/2020 10:30:50 AM","0.00","0.00"
"16/03/2020 10:30:20 AM","0.00","1.00"
"16/03/2020 10:29:50 AM","0.00","0.00"
"16/03/2020 10:29:20 AM","0.00","1.00"
"16/03/2020 10:29:10 AM","0.00","0.00"
"16/03/2020 9:44:40 AM","0.00","1.00"
"16/03/2020 9:44:30 AM","0.00","0.00"
"16/03/2020 9:43:40 AM","0.00","1.00"
"16/03/2020 8:45:50 AM","0.00","0.00"
"16/03/2020 6:00:10 AM","0.00","1.00"
"13/03/2020 10:21:50 AM","0.00","0.00"
"13/03/2020 10:21:00 AM","0.00","1.00"
"13/03/2020 10:20:20 AM","0.00","0.00"
"13/03/2020 10:19:20 AM","0.00","1.00"
"13/03/2020 10:18:50 AM","0.00","0.00"
"13/03/2020 10:17:50 AM","0.00","1.00"
"13/03/2020 10:17:40 AM","0.00","0.00"
"13/03/2020 9:55:00 AM","0.00","1.00"
"13/03/2020 9:54:40 AM","0.00","0.00"
"13/03/2020 9:54:00 AM","0.00","1.00"
"13/03/2020 9:53:40 AM","0.00","0.00"
"13/03/2020 9:52:40 AM","0.00","1.00"
"13/03/2020 9:51:30 AM","0.00","0.00"
"13/03/2020 9:50:50 AM","0.00","1.00"
