"Timestamp","FCU-00-10  PIR Log","FCU-00-10   Enable Log","FCU-00-10 Status Log"
"24/03/2020 1:17:29 PM","0.00","0.00","0.00"
"24/03/2020 1:17:24 PM","0.00","0.00","1.00"
"24/03/2020 1:17:17 PM","0.00","1.00","1.00"
"24/03/2020 1:17:14 PM","0.00","1.00","0.00"
"24/03/2020 1:16:29 PM","0.00","0.00","0.00"
"24/03/2020 1:16:24 PM","0.00","0.00","1.00"
"24/03/2020 1:16:17 PM","0.00","1.00","1.00"
"24/03/2020 1:16:14 PM","0.00","1.00","0.00"
"24/03/2020 1:15:59 PM","0.00","0.00","0.00"
"24/03/2020 1:15:54 PM","0.00","0.00","1.00"
"24/03/2020 1:15:27 PM","0.00","1.00","1.00"
"24/03/2020 1:15:24 PM","0.00","1.00","0.00"
"24/03/2020 1:14:44 PM","0.00","0.00","0.00"
"24/03/2020 1:14:34 PM","0.00","0.00","1.00"
"24/03/2020 1:14:26 PM","0.00","1.00","1.00"
"24/03/2020 1:14:24 PM","0.00","1.00","0.00"
"24/03/2020 1:14:14 PM","0.00","0.00","1.00"
"24/03/2020 1:14:07 PM","0.00","1.00","1.00"
"24/03/2020 1:14:04 PM","0.00","1.00","0.00"
"24/03/2020 1:13:24 PM","0.00","0.00","0.00"
"24/03/2020 1:13:23 PM","0.00","0.00","0.00"
"24/03/2020 1:13:14 PM","0.00","0.00","1.00"
"24/03/2020 1:12:57 PM","0.00","1.00","1.00"
"24/03/2020 1:12:54 PM","0.00","1.00","0.00"
"24/03/2020 1:12:29 PM","0.00","0.00","0.00"
"24/03/2020 1:12:24 PM","0.00","0.00","1.00"
"24/03/2020 1:12:07 PM","0.00","1.00","1.00"
"24/03/2020 1:12:04 PM","0.00","1.00","0.00"
"24/03/2020 1:11:39 PM","0.00","0.00","0.00"
"24/03/2020 1:11:34 PM","0.00","0.00","1.00"
"24/03/2020 1:11:27 PM","0.00","1.00","1.00"
"24/03/2020 1:11:24 PM","0.00","1.00","0.00"
"24/03/2020 1:11:18 PM","0.00","0.00","0.00"
"24/03/2020 1:11:14 PM","0.00","0.00","1.00"
"24/03/2020 1:10:57 PM","0.00","1.00","1.00"
"24/03/2020 1:10:54 PM","0.00","1.00","0.00"
"24/03/2020 1:10:49 PM","0.00","0.00","0.00"
"24/03/2020 1:10:44 PM","0.00","0.00","1.00"
"24/03/2020 1:10:17 PM","0.00","1.00","1.00"
"24/03/2020 1:10:14 PM","0.00","1.00","0.00"
"24/03/2020 1:09:59 PM","0.00","0.00","0.00"
"24/03/2020 1:09:58 PM","0.00","0.00","1.00"
"24/03/2020 1:09:57 PM","0.00","0.00","1.00"
"24/03/2020 1:09:54 PM","0.00","0.00","1.00"
"24/03/2020 1:09:37 PM","0.00","1.00","1.00"
"24/03/2020 1:09:34 PM","0.00","1.00","0.00"
"24/03/2020 1:09:29 PM","0.00","0.00","0.00"
"24/03/2020 1:09:27 PM","0.00","0.00","1.00"
"24/03/2020 1:09:24 PM","0.00","0.00","1.00"
"24/03/2020 1:09:17 PM","0.00","1.00","1.00"
"24/03/2020 1:09:14 PM","0.00","1.00","0.00"
"24/03/2020 1:08:39 PM","0.00","0.00","0.00"
"24/03/2020 1:08:34 PM","0.00","0.00","1.00"
