"Timestamp","FCU PIR Log","FCU Enable Log","FCU Status Log"
"20/03/2020 6:53:21 AM","1.00","1.00","0.00"
"20/03/2020 6:53:19 AM","1.00","0.00","0.00"
"19/03/2020 5:18:03 PM","0.00","0.00","0.00"
"19/03/2020 5:18:01 PM","0.00","0.00","1.00"
"19/03/2020 4:46:53 PM","0.00","1.00","1.00"
"19/03/2020 4:34:04 PM","1.00","1.00","1.00"
"19/03/2020 4:34:01 PM","1.00","1.00","0.00"
"19/03/2020 4:33:53 PM","1.00","0.00","0.00"
"19/03/2020 4:22:53 PM","0.00","0.00","0.00"
"19/03/2020 4:22:51 PM","0.00","0.00","1.00"
"19/03/2020 3:51:41 PM","0.00","1.00","1.00"
"19/03/2020 3:46:33 PM","1.00","1.00","1.00"
"19/03/2020 3:46:31 PM","1.00","1.00","0.00"
"19/03/2020 3:46:29 PM","1.00","0.00","0.00"
"19/03/2020 9:34:03 AM","0.00","0.00","0.00"
"19/03/2020 9:34:01 AM","0.00","0.00","1.00"
"19/03/2020 9:02:51 AM","0.00","1.00","1.00"
"19/03/2020 8:49:53 AM","1.00","1.00","1.00"
"19/03/2020 8:49:51 AM","1.00","1.00","0.00"
"19/03/2020 8:49:42 AM","1.00","0.00","0.00"
"19/03/2020 7:28:43 AM","0.00","0.00","0.00"
"19/03/2020 7:28:41 AM","0.00","0.00","1.00"
"19/03/2020 6:57:28 AM","0.00","1.00","1.00"
"19/03/2020 6:47:33 AM","1.00","1.00","1.00"
"19/03/2020 6:47:31 AM","1.00","1.00","0.00"
"19/03/2020 6:47:30 AM","1.00","0.00","0.00"
"18/03/2020 5:11:33 PM","0.00","0.00","0.00"
"18/03/2020 5:11:31 PM","0.00","0.00","1.00"
"18/03/2020 4:40:24 PM","0.00","1.00","1.00"
"18/03/2020 2:02:14 PM","1.00","1.00","1.00"
"18/03/2020 2:02:11 PM","1.00","1.00","0.00"
"18/03/2020 2:02:02 PM","1.00","0.00","0.00"
"18/03/2020 10:32:18 AM","0.00","0.00","0.00"
"18/03/2020 10:32:11 AM","0.00","0.00","1.00"
"18/03/2020 10:00:58 AM","0.00","1.00","1.00"
"18/03/2020 9:55:54 AM","1.00","1.00","1.00"
"18/03/2020 9:55:51 AM","1.00","1.00","0.00"
"18/03/2020 9:55:48 AM","1.00","0.00","0.00"
"18/03/2020 7:25:03 AM","0.00","0.00","0.00"
"18/03/2020 7:25:01 AM","0.00","0.00","1.00"
"18/03/2020 6:53:53 AM","0.00","1.00","1.00"
"18/03/2020 6:44:03 AM","1.00","1.00","1.00"
"18/03/2020 6:44:01 AM","1.00","1.00","0.00"
"17/03/2020 11:20:53 AM","0.00","0.00","0.00"
"17/03/2020 11:20:51 AM","0.00","0.00","1.00"
"17/03/2020 10:49:39 AM","0.00","1.00","1.00"
"17/03/2020 10:44:34 AM","1.00","1.00","1.00"
"17/03/2020 10:44:31 AM","1.00","1.00","0.00"
"17/03/2020 10:44:30 AM","1.00","0.00","0.00"
"17/03/2020 10:42:03 AM","0.00","0.00","0.00"
"17/03/2020 10:42:01 AM","0.00","0.00","1.00"
"17/03/2020 10:10:53 AM","0.00","1.00","1.00"
"17/03/2020 9:47:14 AM","1.00","1.00","1.00"
"17/03/2020 9:47:11 AM","1.00","1.00","0.00"
"17/03/2020 9:47:08 AM","1.00","0.00","0.00"
"17/03/2020 7:32:38 AM","0.00","0.00","0.00"
"17/03/2020 7:32:31 AM","0.00","0.00","1.00"
"17/03/2020 7:01:18 AM","0.00","1.00","1.00"
"17/03/2020 6:48:40 AM","1.00","1.00","1.00"
"17/03/2020 6:32:40 AM","0.00","1.00","1.00"
"17/03/2020 6:27:19 AM","1.00","1.00","1.00"
"17/03/2020 6:27:11 AM","1.00","1.00","0.00"
"17/03/2020 6:27:02 AM","1.00","0.00","0.00"
"16/03/2020 6:00:03 PM","0.00","0.00","0.00"
"16/03/2020 6:00:01 PM","0.00","0.00","1.00"
"16/03/2020 5:40:08 PM","0.00","1.00","1.00"
"16/03/2020 2:28:14 PM","1.00","1.00","1.00"
"16/03/2020 2:28:11 PM","1.00","1.00","0.00"
"16/03/2020 2:28:02 PM","1.00","0.00","0.00"
"16/03/2020 2:06:23 PM","0.00","0.00","0.00"
"16/03/2020 2:06:21 PM","0.00","0.00","1.00"
"16/03/2020 1:35:09 PM","0.00","1.00","1.00"
"16/03/2020 1:29:56 PM","1.00","1.00","1.00"
"16/03/2020 1:28:12 PM","0.00","1.00","1.00"
"16/03/2020 1:22:05 PM","1.00","1.00","1.00"
"16/03/2020 1:14:16 PM","0.00","1.00","1.00"
"16/03/2020 1:09:03 PM","1.00","1.00","1.00"
"16/03/2020 12:58:46 PM","0.00","1.00","1.00"
"16/03/2020 12:51:53 PM","1.00","1.00","1.00"
"16/03/2020 12:51:51 PM","1.00","1.00","0.00"
"16/03/2020 12:51:44 PM","1.00","0.00","0.00"
"16/03/2020 12:20:03 PM","0.00","0.00","0.00"
"16/03/2020 12:20:01 PM","0.00","0.00","1.00"
"16/03/2020 11:48:47 AM","0.00","1.00","1.00"
"16/03/2020 11:07:34 AM","1.00","1.00","1.00"
"16/03/2020 11:07:31 AM","1.00","1.00","0.00"
"16/03/2020 11:07:28 AM","1.00","0.00","0.00"
"16/03/2020 7:25:53 AM","0.00","0.00","0.00"
"16/03/2020 7:25:51 AM","0.00","0.00","1.00"
"16/03/2020 6:54:44 AM","0.00","1.00","1.00"
"16/03/2020 6:46:54 AM","1.00","1.00","1.00"
"16/03/2020 6:46:51 AM","1.00","1.00","0.00"
"16/03/2020 6:46:45 AM","1.00","0.00","0.00"
"16/03/2020 6:38:13 AM","0.00","0.00","0.00"
"16/03/2020 6:38:11 AM","0.00","0.00","1.00"
"16/03/2020 6:07:02 AM","0.00","1.00","1.00"
"16/03/2020 6:01:20 AM","1.00","1.00","1.00"
"16/03/2020 6:00:03 AM","0.00","1.00","1.00"
"16/03/2020 6:00:01 AM","0.00","1.00","0.00"
"14/03/2020 5:13:03 AM","0.00","0.00","0.00"
"14/03/2020 5:13:01 AM","0.00","0.00","1.00"
"14/03/2020 4:41:52 AM","0.00","1.00","1.00"
"14/03/2020 4:34:59 AM","1.00","1.00","1.00"
"14/03/2020 4:34:51 AM","1.00","1.00","0.00"
"14/03/2020 4:28:42 AM","1.00","0.00","0.00"
"13/03/2020 5:08:23 PM","0.00","0.00","0.00"
"13/03/2020 5:08:21 PM","0.00","0.00","1.00"
"13/03/2020 4:37:09 PM","0.00","1.00","1.00"
"13/03/2020 4:32:06 PM","1.00","1.00","1.00"
"13/03/2020 4:28:13 PM","0.00","1.00","1.00"
"13/03/2020 4:21:16 PM","1.00","1.00","1.00"
"13/03/2020 4:15:04 PM","0.00","1.00","1.00"
"13/03/2020 4:05:59 PM","1.00","1.00","1.00"
"13/03/2020 4:03:22 PM","0.00","1.00","1.00"
"13/03/2020 3:58:12 PM","1.00","1.00","1.00"
"13/03/2020 3:44:14 PM","0.00","1.00","1.00"
"13/03/2020 3:24:44 PM","1.00","1.00","1.00"
"13/03/2020 3:24:41 PM","1.00","1.00","0.00"
"13/03/2020 2:06:18 PM","0.00","0.00","0.00"
"13/03/2020 2:06:11 PM","0.00","0.00","1.00"
"13/03/2020 1:34:56 PM","0.00","1.00","1.00"
"13/03/2020 1:20:47 PM","1.00","1.00","1.00"
"13/03/2020 1:19:20 PM","0.00","1.00","1.00"
"13/03/2020 12:47:31 PM","1.00","1.00","1.00"
"13/03/2020 12:41:41 PM","0.00","1.00","1.00"
"13/03/2020 9:35:54 AM","1.00","1.00","1.00"
"13/03/2020 9:35:51 AM","1.00","1.00","0.00"
"13/03/2020 9:35:49 AM","1.00","0.00","0.00"
"13/03/2020 7:24:23 AM","0.00","0.00","0.00"
"13/03/2020 7:24:21 AM","0.00","0.00","1.00"
"13/03/2020 6:53:12 AM","0.00","1.00","1.00"
"13/03/2020 6:45:14 AM","1.00","1.00","1.00"
"13/03/2020 6:45:11 AM","1.00","1.00","0.00"
"12/03/2020 6:00:03 PM","0.00","0.00","0.00"
"12/03/2020 6:00:01 PM","0.00","0.00","1.00"
"12/03/2020 5:46:24 PM","0.00","1.00","1.00"
"12/03/2020 11:48:33 AM","1.00","1.00","1.00"
"12/03/2020 11:48:31 AM","1.00","1.00","0.00"
"12/03/2020 11:48:28 AM","1.00","0.00","0.00"
"12/03/2020 7:28:13 AM","0.00","0.00","0.00"
"12/03/2020 7:28:11 AM","0.00","0.00","1.00"
"12/03/2020 6:57:01 AM","0.00","1.00","1.00"
"12/03/2020 6:47:53 AM","1.00","1.00","1.00"
"12/03/2020 6:47:51 AM","1.00","1.00","0.00"
"12/03/2020 6:47:47 AM","1.00","0.00","0.00"
"12/03/2020 6:37:43 AM","0.00","0.00","0.00"
"12/03/2020 6:37:41 AM","0.00","0.00","1.00"
"12/03/2020 6:06:27 AM","0.00","1.00","1.00"
"12/03/2020 6:00:03 AM","1.00","1.00","1.00"
"12/03/2020 6:00:01 AM","1.00","1.00","0.00"
"12/03/2020 5:58:33 AM","1.00","0.00","0.00"
"11/03/2020 6:38:53 PM","0.00","0.00","0.00"
"11/03/2020 6:38:51 PM","0.00","0.00","1.00"
"11/03/2020 6:07:49 PM","0.00","1.00","1.00"
"11/03/2020 6:06:03 PM","1.00","1.00","1.00"
"11/03/2020 6:06:01 PM","1.00","1.00","0.00"
"11/03/2020 6:00:03 PM","1.00","0.00","0.00"
"11/03/2020 6:00:01 PM","1.00","0.00","1.00"
"11/03/2020 1:24:03 PM","1.00","1.00","1.00"
"11/03/2020 1:24:01 PM","1.00","1.00","0.00"
"11/03/2020 1:23:56 PM","1.00","0.00","0.00"
"11/03/2020 11:51:23 AM","0.00","0.00","0.00"
"11/03/2020 11:51:21 AM","0.00","0.00","1.00"
"11/03/2020 11:20:09 AM","0.00","1.00","1.00"
"11/03/2020 10:55:53 AM","1.00","1.00","1.00"
"11/03/2020 10:55:51 AM","1.00","1.00","0.00"
"11/03/2020 10:55:45 AM","1.00","0.00","0.00"
"11/03/2020 7:29:43 AM","0.00","0.00","0.00"
"11/03/2020 7:29:41 AM","0.00","0.00","1.00"
"11/03/2020 6:58:35 AM","0.00","1.00","1.00"
"11/03/2020 6:50:14 AM","1.00","1.00","1.00"
"11/03/2020 6:50:11 AM","1.00","1.00","0.00"
"11/03/2020 6:50:08 AM","1.00","0.00","0.00"
"10/03/2020 12:05:33 PM","0.00","0.00","0.00"
"10/03/2020 12:05:31 PM","0.00","0.00","1.00"
"10/03/2020 11:34:16 AM","0.00","1.00","1.00"
"10/03/2020 9:21:45 AM","1.00","1.00","1.00"
