"Timestamp","FCU-00-09  PIR Log","FCU-00-09  Enable Log","FCU-00-09  Status Log"
"24/03/2020 1:40:45 PM","0.00","0.00","0.00"
"24/03/2020 1:40:38 PM","0.00","0.00","1.00"
"24/03/2020 1:40:15 PM","0.00","1.00","1.00"
"24/03/2020 1:40:08 PM","0.00","1.00","0.00"
"24/03/2020 1:40:05 PM","0.00","0.00","0.00"
"24/03/2020 1:39:58 PM","0.00","0.00","1.00"
"24/03/2020 1:39:47 PM","0.00","1.00","1.00"
"24/03/2020 1:39:38 PM","0.00","1.00","0.00"
"24/03/2020 1:33:14 PM","0.00","0.00","0.00"
"24/03/2020 1:33:08 PM","0.00","0.00","1.00"
"24/03/2020 1:33:06 PM","0.00","1.00","1.00"
"24/03/2020 1:32:58 PM","0.00","1.00","0.00"
"24/03/2020 1:32:44 PM","0.00","0.00","0.00"
"24/03/2020 1:32:38 PM","0.00","0.00","1.00"
"24/03/2020 1:32:37 PM","0.00","1.00","1.00"
"24/03/2020 1:32:28 PM","0.00","1.00","0.00"
"24/03/2020 1:26:55 PM","0.00","0.00","0.00"
"24/03/2020 1:26:54 PM","0.00","0.00","1.00"
"24/03/2020 1:26:48 PM","0.00","0.00","1.00"
"24/03/2020 1:26:44 PM","0.00","1.00","1.00"
"24/03/2020 1:26:38 PM","0.00","1.00","0.00"
"24/03/2020 1:26:35 PM","0.00","0.00","0.00"
"24/03/2020 1:26:28 PM","0.00","0.00","1.00"
"24/03/2020 1:25:57 PM","0.00","1.00","1.00"
"24/03/2020 1:25:48 PM","0.00","1.00","0.00"
"24/03/2020 1:18:55 PM","0.00","0.00","0.00"
"24/03/2020 1:18:48 PM","0.00","0.00","1.00"
"24/03/2020 1:17:47 PM","0.00","1.00","1.00"
"24/03/2020 1:17:38 PM","0.00","1.00","0.00"
"24/03/2020 1:14:35 PM","0.00","0.00","0.00"
"24/03/2020 1:14:28 PM","0.00","0.00","1.00"
"24/03/2020 1:13:37 PM","0.00","1.00","1.00"
"24/03/2020 1:13:28 PM","0.00","1.00","0.00"
"24/03/2020 1:10:25 PM","0.00","0.00","0.00"
"24/03/2020 1:10:18 PM","0.00","0.00","1.00"
"24/03/2020 1:09:37 PM","0.00","1.00","1.00"
"24/03/2020 1:09:28 PM","0.00","1.00","0.00"
