"Timestamp","FCU-00-06   PIR Log","FCU-00-06   Enable Log","FCU-00-06   Status Log"
"23/03/2020 11:54:43 AM","0.00","0.00","1.00"
"23/03/2020 11:31:54 AM","0.00","1.00","1.00"
"23/03/2020 11:31:53 AM","0.00","1.00","0.00"
"23/03/2020 11:28:17 AM","0.00","1.00","1.00"
"23/03/2020 11:28:13 AM","0.00","1.00","0.00"
"23/03/2020 11:28:06 AM","0.00","0.00","0.00"
"23/03/2020 11:28:03 AM","0.00","0.00","1.00"
"23/03/2020 11:27:39 AM","0.00","1.00","1.00"
"23/03/2020 11:27:33 AM","0.00","1.00","0.00"
"23/03/2020 11:27:16 AM","0.00","0.00","0.00"
"23/03/2020 11:27:13 AM","0.00","0.00","1.00"
"23/03/2020 11:26:13 AM","0.00","1.00","1.00"
"23/03/2020 11:26:03 AM","0.00","1.00","0.00"
"23/03/2020 11:25:36 AM","0.00","0.00","0.00"
"23/03/2020 11:25:33 AM","0.00","0.00","1.00"
"23/03/2020 11:25:29 AM","0.00","1.00","1.00"
"23/03/2020 11:25:23 AM","0.00","1.00","0.00"
"23/03/2020 11:24:56 AM","0.00","0.00","0.00"
"23/03/2020 11:24:55 AM","0.00","0.00","1.00"
"23/03/2020 11:24:54 AM","0.00","0.00","0.00"
"23/03/2020 11:24:53 AM","0.00","0.00","1.00"
"23/03/2020 11:24:52 AM","0.00","1.00","1.00"
"23/03/2020 11:24:43 AM","0.00","1.00","0.00"
"23/03/2020 11:23:36 AM","0.00","0.00","0.00"
"23/03/2020 11:23:33 AM","0.00","0.00","1.00"
"23/03/2020 11:23:32 AM","0.00","1.00","1.00"
"23/03/2020 11:23:31 AM","0.00","1.00","1.00"
"23/03/2020 11:23:23 AM","0.00","1.00","0.00"
"23/03/2020 11:22:36 AM","0.00","0.00","0.00"
"23/03/2020 11:22:33 AM","0.00","0.00","1.00"
"23/03/2020 11:22:30 AM","0.00","1.00","1.00"
"23/03/2020 11:22:28 AM","0.00","1.00","0.00"
"23/03/2020 11:22:27 AM","0.00","1.00","1.00"
"23/03/2020 11:22:26 AM","0.00","1.00","0.00"
"23/03/2020 11:22:22 AM","0.00","1.00","1.00"
"23/03/2020 11:22:13 AM","0.00","1.00","0.00"
"23/03/2020 11:22:06 AM","0.00","0.00","0.00"
"23/03/2020 11:22:03 AM","0.00","0.00","1.00"
"23/03/2020 11:21:54 AM","0.00","1.00","1.00"
"23/03/2020 11:21:43 AM","0.00","1.00","0.00"
"23/03/2020 11:21:36 AM","0.00","0.00","0.00"
"23/03/2020 11:21:33 AM","0.00","0.00","1.00"
"23/03/2020 6:06:07 AM","0.00","1.00","1.00"
"23/03/2020 6:00:19 AM","1.00","1.00","1.00"
"23/03/2020 6:00:12 AM","1.00","1.00","0.00"
"23/03/2020 6:00:10 AM","1.00","1.00","1.00"
"23/03/2020 6:00:03 AM","1.00","1.00","0.00"
"23/03/2020 5:58:00 AM","1.00","0.00","0.00"
"20/03/2020 3:19:16 PM","0.00","0.00","0.00"
"20/03/2020 3:19:13 PM","0.00","0.00","1.00"
"20/03/2020 2:47:55 PM","0.00","1.00","1.00"
"20/03/2020 11:21:10 AM","1.00","1.00","1.00"
"20/03/2020 11:08:26 AM","0.00","1.00","1.00"
"20/03/2020 10:05:22 AM","1.00","1.00","1.00"
"20/03/2020 10:02:42 AM","0.00","1.00","1.00"
"20/03/2020 9:52:20 AM","1.00","1.00","1.00"
"20/03/2020 9:38:36 AM","1.00","1.00","1.00"
"20/03/2020 9:38:34 AM","1.00","1.00","0.00"
"20/03/2020 9:38:10 AM","1.00","1.00","1.00"
"20/03/2020 9:36:11 AM","1.00","1.00","1.00"
