"Timestamp","AHU_B1_01-PIR1 Log","AHU_B1_01-PIR2 Log","AHU_B1_01-Sts Log","AHU_B1_01-Enable Log"
"20/03/2020 1:33:23 PM","0.00","0.00","1.00","1.00"
"20/03/2020 1:18:08 PM","0.00","1.00","1.00","1.00"
"20/03/2020 12:40:16 PM","0.00","0.00","1.00","1.00"
"20/03/2020 12:21:26 PM","0.00","1.00","1.00","1.00"
"20/03/2020 12:20:58 PM","1.00","1.00","1.00","1.00"
"20/03/2020 12:16:21 PM","1.00","0.00","1.00","1.00"
"20/03/2020 11:45:23 AM","0.00","0.00","1.00","1.00"
"20/03/2020 11:40:19 AM","1.00","0.00","1.00","1.00"
"20/03/2020 11:07:14 AM","0.00","0.00","1.00","1.00"
"20/03/2020 10:47:07 AM","0.00","1.00","1.00","1.00"
"20/03/2020 10:13:18 AM","0.00","0.00","1.00","1.00"
"20/03/2020 9:59:10 AM","0.00","1.00","1.00","1.00"
"20/03/2020 9:58:15 AM","1.00","1.00","1.00","1.00"
"20/03/2020 9:49:06 AM","1.00","0.00","1.00","1.00"
"20/03/2020 9:37:29 AM","0.00","0.00","1.00","1.00"
"20/03/2020 9:32:26 AM","1.00","0.00","1.00","1.00"
"20/03/2020 6:31:11 AM","0.00","0.00","1.00","1.00"
"20/03/2020 6:25:21 AM","0.00","1.00","1.00","1.00"
"20/03/2020 6:19:48 AM","1.00","1.00","1.00","1.00"
"20/03/2020 6:00:01 AM","0.00","1.00","1.00","1.00"
"20/03/2020 5:57:31 AM","0.00","1.00","1.00","0.00"
"20/03/2020 12:21:13 AM","0.00","0.00","1.00","0.00"
"20/03/2020 12:06:05 AM","0.00","1.00","1.00","0.00"
"19/03/2020 10:27:33 PM","0.00","0.00","1.00","0.00"
"19/03/2020 10:10:59 PM","0.00","1.00","1.00","0.00"
"19/03/2020 10:07:29 PM","1.00","1.00","1.00","0.00"
"19/03/2020 10:05:53 PM","1.00","0.00","1.00","0.00"
"19/03/2020 9:23:16 PM","0.00","0.00","1.00","0.00"
"19/03/2020 9:00:12 PM","0.00","1.00","1.00","0.00"
"19/03/2020 8:01:12 PM","0.00","0.00","1.00","0.00"
"19/03/2020 7:53:08 PM","0.00","1.00","1.00","0.00"
"19/03/2020 7:48:01 PM","1.00","1.00","1.00","0.00"
"19/03/2020 7:46:07 PM","0.00","1.00","1.00","0.00"
"19/03/2020 6:00:01 PM","0.00","0.00","1.00","0.00"
