"Timestamp","FCU-00-15   PIR Log","FCU-00-15   Enable Log","FCU-00-15   Status Log"
"24/03/2020 1:45:22 PM","1.00","1.00","0.00"
"24/03/2020 1:41:21 PM","0.00","1.00","0.00"
"24/03/2020 1:16:22 PM","1.00","1.00","0.00"
"24/03/2020 1:16:17 PM","1.00","0.00","0.00"
"24/03/2020 10:48:02 AM","0.00","0.00","0.00"
"24/03/2020 10:16:49 AM","0.00","1.00","0.00"
"24/03/2020 9:58:37 AM","1.00","1.00","0.00"
"24/03/2020 9:54:23 AM","0.00","1.00","0.00"
"24/03/2020 9:39:08 AM","1.00","1.00","0.00"
"24/03/2020 9:38:41 AM","0.00","1.00","0.00"
"24/03/2020 9:18:37 AM","1.00","1.00","0.00"
"24/03/2020 9:12:21 AM","0.00","1.00","0.00"
"24/03/2020 8:55:51 AM","1.00","1.00","0.00"
"24/03/2020 8:55:07 AM","0.00","1.00","0.00"
"24/03/2020 8:50:04 AM","1.00","1.00","0.00"
"24/03/2020 8:45:51 AM","0.00","1.00","0.00"
"24/03/2020 8:26:16 AM","1.00","1.00","0.00"
"24/03/2020 8:17:11 AM","0.00","1.00","0.00"
"24/03/2020 8:00:22 AM","1.00","1.00","0.00"
"24/03/2020 7:50:23 AM","0.00","1.00","0.00"
"24/03/2020 7:36:19 AM","1.00","1.00","0.00"
"24/03/2020 7:32:49 AM","0.00","1.00","0.00"
"24/03/2020 7:27:31 AM","1.00","1.00","0.00"
"24/03/2020 7:22:45 AM","0.00","1.00","0.00"
"24/03/2020 7:14:52 AM","1.00","1.00","0.00"
"24/03/2020 7:14:51 AM","1.00","0.00","0.00"
"24/03/2020 5:52:42 AM","0.00","0.00","0.00"
"24/03/2020 5:21:36 AM","0.00","1.00","0.00"
"24/03/2020 5:18:32 AM","1.00","1.00","0.00"
"24/03/2020 5:12:24 AM","1.00","0.00","0.00"
"23/03/2020 2:34:32 PM","0.00","0.00","0.00"
"23/03/2020 2:03:27 PM","0.00","1.00","0.00"
"23/03/2020 12:42:52 PM","1.00","1.00","0.00"
"23/03/2020 12:42:45 PM","1.00","0.00","0.00"
"23/03/2020 11:25:32 AM","0.00","0.00","0.00"
"23/03/2020 10:54:27 AM","0.00","1.00","0.00"
"23/03/2020 10:46:32 AM","1.00","1.00","0.00"
"23/03/2020 4:57:32 AM","0.00","0.00","0.00"
"23/03/2020 4:26:27 AM","0.00","1.00","0.00"
"23/03/2020 4:16:32 AM","1.00","1.00","0.00"
"23/03/2020 4:10:31 AM","1.00","0.00","0.00"
"20/03/2020 7:38:52 PM","0.00","0.00","0.00"
"20/03/2020 7:07:49 PM","0.00","1.00","0.00"
"20/03/2020 6:06:02 PM","1.00","1.00","0.00"
"20/03/2020 6:00:02 PM","1.00","0.00","0.00"
