"Timestamp","FCU-00-17  PIR Log","FCU-00-17  Enable Log","FCU-00-17  Status Log"
"23/03/2020 8:52:17 AM","0.00","1.00","1.00"
"23/03/2020 7:40:02 AM","1.00","1.00","1.00"
"23/03/2020 7:39:38 AM","0.00","1.00","1.00"
"23/03/2020 7:30:43 AM","1.00","1.00","1.00"
"23/03/2020 7:25:21 AM","0.00","1.00","1.00"
"23/03/2020 7:20:15 AM","1.00","1.00","1.00"
"23/03/2020 7:20:13 AM","0.00","1.00","1.00"
"23/03/2020 7:10:22 AM","1.00","1.00","1.00"
"23/03/2020 6:50:00 AM","0.00","1.00","1.00"
"23/03/2020 6:44:18 AM","1.00","1.00","1.00"
"23/03/2020 6:39:25 AM","0.00","1.00","1.00"
"23/03/2020 6:33:55 AM","1.00","1.00","1.00"
"23/03/2020 6:25:37 AM","0.00","1.00","1.00"
"23/03/2020 6:20:24 AM","1.00","1.00","1.00"
"23/03/2020 6:20:05 AM","0.00","1.00","1.00"
"23/03/2020 6:15:03 AM","1.00","1.00","1.00"
"23/03/2020 5:46:14 AM","0.00","1.00","1.00"
"23/03/2020 5:41:05 AM","1.00","1.00","1.00"
"23/03/2020 5:30:48 AM","0.00","1.00","1.00"
"23/03/2020 5:17:36 AM","1.00","1.00","1.00"
"23/03/2020 5:10:19 AM","0.00","1.00","1.00"
"23/03/2020 5:05:04 AM","1.00","1.00","1.00"
"23/03/2020 5:04:37 AM","0.00","1.00","1.00"
"23/03/2020 4:59:28 AM","1.00","1.00","1.00"
"23/03/2020 4:46:55 AM","0.00","1.00","1.00"
"23/03/2020 4:41:49 AM","1.00","1.00","1.00"
"23/03/2020 4:41:40 AM","0.00","1.00","1.00"
"23/03/2020 4:30:13 AM","1.00","1.00","1.00"
"23/03/2020 4:14:31 AM","0.00","1.00","1.00"
"23/03/2020 4:09:25 AM","1.00","1.00","1.00"
"23/03/2020 4:08:36 AM","0.00","1.00","1.00"
"23/03/2020 4:02:21 AM","1.00","1.00","1.00"
"23/03/2020 4:02:20 AM","0.00","1.00","1.00"
"23/03/2020 3:41:09 AM","1.00","1.00","1.00"
"23/03/2020 3:35:00 AM","0.00","1.00","1.00"
"23/03/2020 3:34:57 AM","0.00","1.00","0.00"
"23/03/2020 3:33:54 AM","0.00","0.00","0.00"
"23/03/2020 3:28:51 AM","1.00","0.00","0.00"
"22/03/2020 9:27:32 PM","0.00","0.00","0.00"
"22/03/2020 9:27:27 PM","0.00","0.00","1.00"
"22/03/2020 8:57:10 PM","0.00","1.00","1.00"
"22/03/2020 8:57:07 PM","0.00","1.00","0.00"
"22/03/2020 8:56:19 PM","0.00","0.00","0.00"
"22/03/2020 8:51:03 PM","1.00","0.00","0.00"
"22/03/2020 6:04:08 PM","0.00","0.00","0.00"
"22/03/2020 6:04:07 PM","0.00","0.00","1.00"
"22/03/2020 5:33:06 PM","0.00","1.00","1.00"
"22/03/2020 5:27:49 PM","1.00","1.00","1.00"
"22/03/2020 5:17:25 PM","0.00","1.00","1.00"
"22/03/2020 5:12:01 PM","1.00","1.00","1.00"
"22/03/2020 5:02:21 PM","0.00","1.00","1.00"
"22/03/2020 4:57:16 PM","1.00","1.00","1.00"
"22/03/2020 4:49:04 PM","0.00","1.00","1.00"
"22/03/2020 4:39:16 PM","1.00","1.00","1.00"
"22/03/2020 4:33:09 PM","0.00","1.00","1.00"
"22/03/2020 11:49:45 AM","1.00","1.00","1.00"
"22/03/2020 11:47:36 AM","0.00","1.00","1.00"
