"Timestamp","FCU-00-08   PIR Log","FCU-00-08  Enable Log","FCU-00-08   Status Log"
"19/03/2020 6:02:25 AM","0.00","1.00","1.00"
"19/03/2020 5:54:02 AM","1.00","1.00","1.00"
"19/03/2020 5:52:32 AM","0.00","1.00","1.00"
"19/03/2020 5:52:21 AM","1.00","1.00","1.00"
"19/03/2020 5:52:18 AM","1.00","1.00","0.00"
"19/03/2020 5:46:13 AM","1.00","0.00","0.00"
"18/03/2020 8:00:00 PM","0.00","0.00","0.00"
"18/03/2020 7:59:58 PM","0.00","0.00","1.00"
"18/03/2020 7:28:55 PM","0.00","1.00","1.00"
"18/03/2020 6:53:40 PM","1.00","1.00","1.00"
"18/03/2020 6:29:14 PM","0.00","1.00","1.00"
"18/03/2020 6:17:41 PM","1.00","1.00","1.00"
"18/03/2020 6:17:38 PM","1.00","1.00","0.00"
"18/03/2020 6:11:31 PM","1.00","0.00","0.00"
"18/03/2020 6:00:10 PM","0.00","0.00","0.00"
"18/03/2020 6:00:08 PM","0.00","0.00","1.00"
"18/03/2020 11:47:26 AM","0.00","1.00","1.00"
"18/03/2020 11:47:18 AM","0.00","1.00","0.00"
"18/03/2020 6:03:50 AM","0.00","0.00","0.00"
"18/03/2020 6:03:48 AM","0.00","0.00","1.00"
"18/03/2020 5:32:42 AM","0.00","1.00","1.00"
"18/03/2020 5:29:31 AM","1.00","1.00","1.00"
"18/03/2020 5:29:28 AM","1.00","1.00","0.00"
"18/03/2020 5:23:20 AM","1.00","0.00","0.00"
"17/03/2020 7:57:30 PM","0.00","0.00","0.00"
"17/03/2020 7:57:28 PM","0.00","0.00","1.00"
"17/03/2020 7:26:27 PM","0.00","1.00","1.00"
"17/03/2020 7:17:43 PM","1.00","1.00","1.00"
"17/03/2020 7:17:37 PM","0.00","1.00","1.00"
"17/03/2020 7:07:06 PM","1.00","1.00","1.00"
"17/03/2020 7:06:58 PM","1.00","1.00","0.00"
"17/03/2020 7:00:58 PM","1.00","0.00","0.00"
"17/03/2020 11:05:40 AM","0.00","0.00","0.00"
"17/03/2020 11:05:38 AM","0.00","0.00","1.00"
"17/03/2020 10:34:24 AM","0.00","1.00","1.00"
"17/03/2020 10:27:21 AM","1.00","1.00","1.00"
"17/03/2020 10:27:18 AM","1.00","1.00","0.00"
"17/03/2020 10:27:10 AM","1.00","0.00","0.00"
"17/03/2020 6:30:00 AM","0.00","0.00","0.00"
"17/03/2020 6:29:58 AM","0.00","0.00","1.00"
"17/03/2020 5:58:48 AM","0.00","1.00","1.00"
"17/03/2020 5:53:11 AM","1.00","1.00","1.00"
"17/03/2020 5:53:08 AM","1.00","1.00","0.00"
"17/03/2020 5:47:07 AM","1.00","0.00","0.00"
"16/03/2020 6:37:10 PM","0.00","0.00","0.00"
"16/03/2020 6:37:08 PM","0.00","0.00","1.00"
"16/03/2020 6:06:10 PM","0.00","1.00","1.00"
"16/03/2020 6:06:08 PM","0.00","1.00","0.00"
"16/03/2020 6:06:03 PM","0.00","0.00","0.00"
"16/03/2020 6:00:10 PM","1.00","0.00","0.00"
"16/03/2020 6:00:08 PM","1.00","0.00","1.00"
"16/03/2020 5:50:50 PM","1.00","1.00","1.00"
"16/03/2020 5:41:15 PM","0.00","1.00","1.00"
"16/03/2020 3:20:51 PM","1.00","1.00","1.00"
"16/03/2020 3:14:44 PM","0.00","1.00","1.00"
"16/03/2020 2:54:22 PM","1.00","1.00","1.00"
"16/03/2020 2:54:17 PM","0.00","1.00","1.00"
"16/03/2020 2:47:51 PM","1.00","1.00","1.00"
"16/03/2020 2:47:48 PM","0.00","1.00","1.00"
"16/03/2020 2:41:45 PM","1.00","1.00","1.00"
"16/03/2020 2:12:55 PM","0.00","1.00","1.00"
"16/03/2020 2:07:42 PM","1.00","1.00","1.00"
"16/03/2020 2:03:06 PM","0.00","1.00","1.00"
"16/03/2020 11:23:13 AM","1.00","1.00","1.00"
"16/03/2020 11:18:34 AM","0.00","1.00","1.00"
"16/03/2020 11:07:40 AM","1.00","1.00","1.00"
"16/03/2020 11:07:38 AM","1.00","1.00","0.00"
"16/03/2020 10:48:00 AM","0.00","0.00","0.00"
"16/03/2020 10:47:58 AM","0.00","0.00","1.00"
"16/03/2020 10:16:52 AM","0.00","1.00","1.00"
"16/03/2020 10:08:18 AM","1.00","1.00","1.00"
"16/03/2020 10:02:55 AM","0.00","1.00","1.00"
"16/03/2020 9:47:20 AM","1.00","1.00","1.00"
"16/03/2020 9:47:18 AM","1.00","1.00","0.00"
"16/03/2020 9:47:16 AM","1.00","0.00","0.00"
"16/03/2020 8:27:00 AM","0.00","0.00","0.00"
"16/03/2020 8:26:58 AM","0.00","0.00","1.00"
"16/03/2020 8:26:51 AM","0.00","1.00","1.00"
"16/03/2020 8:26:48 AM","0.00","1.00","0.00"
"16/03/2020 8:26:40 AM","0.00","0.00","0.00"
"16/03/2020 8:26:38 AM","0.00","0.00","1.00"
"16/03/2020 6:40:31 AM","0.00","1.00","1.00"
"16/03/2020 6:40:28 AM","0.00","1.00","0.00"
"16/03/2020 6:36:00 AM","0.00","0.00","0.00"
"16/03/2020 6:35:58 AM","0.00","0.00","1.00"
"16/03/2020 6:04:53 AM","0.00","1.00","1.00"
"16/03/2020 5:59:10 AM","1.00","1.00","1.00"
