"Timestamp","AHU_B1_02-PIR2 Log","AHU_B1_02-Sts Log","AHU_B1_02-Enable Log"
"21/03/2020 2:00:19 PM","1.00","0.00","0.00"
"21/03/2020 1:48:58 PM","0.00","0.00","0.00"
"21/03/2020 1:43:57 PM","1.00","0.00","0.00"
"21/03/2020 12:19:19 PM","0.00","0.00","0.00"
"21/03/2020 12:14:19 PM","1.00","0.00","0.00"
"21/03/2020 10:22:31 AM","0.00","0.00","0.00"
"21/03/2020 10:14:48 AM","1.00","0.00","0.00"
"21/03/2020 9:39:58 AM","0.00","0.00","0.00"
"21/03/2020 9:34:44 AM","1.00","0.00","0.00"
"20/03/2020 11:51:19 PM","0.00","0.00","0.00"
"20/03/2020 11:46:14 PM","1.00","0.00","0.00"
"20/03/2020 10:40:44 PM","0.00","0.00","0.00"
"20/03/2020 10:35:44 PM","1.00","0.00","0.00"
"20/03/2020 10:07:41 PM","0.00","0.00","0.00"
"20/03/2020 10:07:16 PM","0.00","1.00","0.00"
"20/03/2020 8:06:09 PM","0.00","1.00","1.00"
"20/03/2020 8:01:10 PM","1.00","1.00","1.00"
"20/03/2020 7:56:24 PM","0.00","1.00","1.00"
"20/03/2020 7:51:24 PM","1.00","1.00","1.00"
"20/03/2020 7:40:30 PM","0.00","1.00","1.00"
"20/03/2020 7:33:27 PM","1.00","1.00","1.00"
"20/03/2020 6:33:29 PM","0.00","1.00","1.00"
"20/03/2020 6:26:16 PM","1.00","1.00","1.00"
"20/03/2020 6:24:06 PM","0.00","1.00","1.00"
"20/03/2020 6:18:53 PM","1.00","1.00","1.00"
"20/03/2020 6:15:47 PM","0.00","1.00","1.00"
"20/03/2020 6:10:45 PM","1.00","1.00","1.00"
"20/03/2020 6:07:11 PM","0.00","1.00","1.00"
"20/03/2020 5:54:14 PM","1.00","1.00","1.00"
"20/03/2020 5:51:45 PM","0.00","1.00","1.00"
"20/03/2020 5:41:16 PM","1.00","1.00","1.00"
"20/03/2020 5:37:48 PM","0.00","1.00","1.00"
"20/03/2020 5:30:31 PM","1.00","1.00","1.00"
"20/03/2020 5:26:09 PM","0.00","1.00","1.00"
