"Timestamp","FCU-00-21 PIR Log","FCU-00-21 Enable Log","FCU-00-21 Status Log"
"24/03/2020 3:43:51 PM","1.00","1.00","1.00"
"24/03/2020 3:37:13 PM","0.00","1.00","1.00"
"24/03/2020 1:28:57 PM","1.00","1.00","1.00"
"24/03/2020 1:22:47 PM","0.00","1.00","1.00"
"24/03/2020 11:28:21 AM","1.00","1.00","1.00"
"24/03/2020 11:16:19 AM","0.00","1.00","1.00"
"24/03/2020 11:11:09 AM","1.00","1.00","1.00"
"24/03/2020 6:00:03 AM","0.00","1.00","1.00"
"24/03/2020 6:00:01 AM","0.00","1.00","0.00"
"24/03/2020 4:33:13 AM","0.00","0.00","0.00"
"24/03/2020 4:33:01 AM","0.00","0.00","1.00"
"24/03/2020 4:01:52 AM","0.00","1.00","1.00"
"24/03/2020 3:56:44 AM","1.00","1.00","1.00"
"24/03/2020 3:56:36 AM","1.00","1.00","1.00"
"24/03/2020 3:56:31 AM","1.00","1.00","0.00"
"24/03/2020 3:50:31 AM","1.00","0.00","0.00"
"23/03/2020 7:58:25 PM","0.00","0.00","0.00"
"23/03/2020 7:58:11 PM","0.00","0.00","1.00"
"23/03/2020 7:27:07 PM","0.00","1.00","1.00"
"23/03/2020 7:02:53 PM","1.00","1.00","1.00"
"23/03/2020 7:02:51 PM","1.00","1.00","0.00"
"23/03/2020 6:56:48 PM","1.00","0.00","0.00"
"23/03/2020 6:40:47 PM","0.00","0.00","0.00"
"23/03/2020 6:40:41 PM","0.00","0.00","1.00"
"23/03/2020 6:09:35 PM","0.00","1.00","1.00"
"23/03/2020 6:06:04 PM","1.00","1.00","1.00"
"23/03/2020 6:06:01 PM","1.00","1.00","0.00"
"23/03/2020 6:00:11 PM","1.00","0.00","0.00"
"23/03/2020 6:00:01 PM","1.00","0.00","1.00"
"23/03/2020 4:53:02 PM","1.00","1.00","1.00"
"23/03/2020 4:50:25 PM","0.00","1.00","1.00"
"23/03/2020 4:25:33 PM","1.00","1.00","1.00"
"23/03/2020 4:25:04 PM","0.00","1.00","1.00"
"23/03/2020 3:58:00 PM","1.00","1.00","1.00"
"23/03/2020 3:40:14 PM","0.00","1.00","1.00"
"23/03/2020 2:58:00 PM","1.00","1.00","1.00"
"23/03/2020 2:57:14 PM","0.00","1.00","1.00"
"23/03/2020 2:48:21 PM","1.00","1.00","1.00"
"23/03/2020 2:45:09 PM","0.00","1.00","1.00"
"23/03/2020 11:07:06 AM","1.00","1.00","1.00"
"23/03/2020 11:06:37 AM","0.00","1.00","1.00"
"23/03/2020 10:23:07 AM","1.00","1.00","1.00"
"23/03/2020 10:08:27 AM","0.00","1.00","1.00"
"23/03/2020 9:56:44 AM","1.00","1.00","1.00"
"23/03/2020 9:56:41 AM","1.00","1.00","0.00"
"23/03/2020 9:56:32 AM","1.00","0.00","0.00"
"23/03/2020 8:50:53 AM","0.00","0.00","0.00"
"23/03/2020 8:50:41 AM","0.00","0.00","1.00"
"23/03/2020 8:19:31 AM","0.00","1.00","1.00"
"23/03/2020 8:02:49 AM","1.00","1.00","1.00"
"23/03/2020 8:02:41 AM","1.00","1.00","0.00"
"23/03/2020 8:02:40 AM","1.00","0.00","0.00"
"23/03/2020 4:25:01 AM","0.00","0.00","0.00"
"23/03/2020 4:24:51 AM","0.00","0.00","1.00"
"23/03/2020 3:53:44 AM","0.00","1.00","1.00"
"23/03/2020 3:45:34 AM","1.00","1.00","1.00"
"23/03/2020 3:45:31 AM","1.00","1.00","0.00"
"23/03/2020 3:39:21 AM","1.00","0.00","0.00"
"20/03/2020 6:54:27 PM","0.00","0.00","0.00"
"20/03/2020 6:54:21 PM","0.00","0.00","1.00"
"20/03/2020 6:23:17 PM","0.00","1.00","1.00"
"20/03/2020 6:06:06 PM","1.00","1.00","1.00"
"20/03/2020 6:06:01 PM","1.00","1.00","0.00"
"20/03/2020 6:00:13 PM","1.00","0.00","0.00"
"20/03/2020 6:00:12 PM","1.00","0.00","1.00"
"20/03/2020 6:00:11 PM","1.00","0.00","0.00"
"20/03/2020 6:00:10 PM","1.00","0.00","0.00"
"20/03/2020 6:00:01 PM","1.00","0.00","1.00"
"20/03/2020 5:34:06 PM","1.00","1.00","1.00"
"20/03/2020 5:09:41 PM","0.00","1.00","1.00"
"20/03/2020 3:14:11 PM","1.00","1.00","1.00"
"20/03/2020 3:04:38 PM","0.00","1.00","1.00"
"20/03/2020 2:58:23 PM","1.00","1.00","1.00"
"20/03/2020 2:56:23 PM","0.00","1.00","1.00"
"20/03/2020 2:27:04 PM","1.00","1.00","1.00"
