"Timestamp","FCU-00-12  PIR Log","FCU-00-12  Enable Log","FCU-00-12  Status Log"
"23/03/2020 6:06:12 PM","1.00","1.00","1.00"
"23/03/2020 6:06:08 PM","1.00","1.00","0.00"
"23/03/2020 6:00:11 PM","1.00","0.00","0.00"
"23/03/2020 6:00:08 PM","1.00","0.00","1.00"
"21/03/2020 1:45:07 AM","1.00","1.00","1.00"
"20/03/2020 6:06:11 PM","1.00","1.00","1.00"
"20/03/2020 6:06:08 PM","1.00","1.00","0.00"
"20/03/2020 6:00:12 PM","1.00","0.00","0.00"
"20/03/2020 6:00:08 PM","1.00","0.00","1.00"
"19/03/2020 6:06:12 PM","1.00","1.00","1.00"
"19/03/2020 6:06:08 PM","1.00","1.00","0.00"
"19/03/2020 6:00:11 PM","1.00","0.00","0.00"
"19/03/2020 6:00:08 PM","1.00","0.00","1.00"
"18/03/2020 6:06:11 PM","1.00","1.00","1.00"
"18/03/2020 6:06:08 PM","1.00","1.00","0.00"
"18/03/2020 6:00:10 PM","1.00","0.00","0.00"
"18/03/2020 6:00:08 PM","1.00","0.00","1.00"
"17/03/2020 6:06:12 PM","1.00","1.00","1.00"
"17/03/2020 6:06:08 PM","1.00","1.00","0.00"
"17/03/2020 6:00:11 PM","1.00","0.00","0.00"
"17/03/2020 6:00:08 PM","1.00","0.00","1.00"
"16/03/2020 6:06:12 PM","1.00","1.00","1.00"
"16/03/2020 6:06:08 PM","1.00","1.00","0.00"
"16/03/2020 6:00:17 PM","1.00","0.00","0.00"
"16/03/2020 6:00:11 PM","1.00","0.00","1.00"
"16/03/2020 6:00:08 PM","1.00","0.00","1.00"
"14/03/2020 9:28:42 AM","1.00","1.00","1.00"
"14/03/2020 7:48:20 AM","1.00","1.00","0.00"
"13/03/2020 6:06:12 PM","1.00","1.00","1.00"
"13/03/2020 6:06:08 PM","1.00","1.00","0.00"
"13/03/2020 6:00:11 PM","1.00","0.00","0.00"
"13/03/2020 6:00:08 PM","1.00","0.00","1.00"
"13/03/2020 1:44:02 AM","1.00","1.00","1.00"
"12/03/2020 6:06:12 PM","1.00","1.00","1.00"
"12/03/2020 6:06:08 PM","1.00","1.00","0.00"
"12/03/2020 6:00:10 PM","1.00","0.00","0.00"
"12/03/2020 6:00:08 PM","1.00","0.00","1.00"
"11/03/2020 6:06:11 PM","1.00","1.00","1.00"
"11/03/2020 6:06:08 PM","1.00","1.00","0.00"
"11/03/2020 6:00:10 PM","1.00","0.00","0.00"
"11/03/2020 6:00:08 PM","1.00","0.00","1.00"
"10/03/2020 6:06:11 PM","1.00","1.00","1.00"
