"Timestamp","FCU-00-15  CO2 Extended Trend Log","FCU-00-15 SaTmp Extended Trend Log","FCU-00-15  ClgTmpSp Extended Trend Log","FCU-00-15  HtgTmpSp Extended Trend Log","FCU-00-15 ZnTmp Extended Trend Log"
"24/03/2020 2:10:35 PM","376.60","21.06","23.00","22.00","22.02"
"24/03/2020 2:05:35 PM","364.20","21.00","23.00","22.00","22.02"
"24/03/2020 2:00:35 PM","367.80","20.94","23.00","22.00","22.02"
"24/03/2020 1:55:35 PM","375.00","20.87","23.00","22.00","22.02"
"24/03/2020 1:50:35 PM","360.40","20.80","23.00","22.00","22.02"
"24/03/2020 1:45:35 PM","373.60","20.75","23.00","22.00","22.02"
"24/03/2020 1:40:35 PM","365.20","20.71","23.00","22.00","22.02"
"24/03/2020 1:35:35 PM","373.40","20.69","23.00","22.00","22.02"
"24/03/2020 1:30:35 PM","368.60","20.67","23.00","22.00","22.02"
"24/03/2020 1:25:35 PM","373.60","20.63","23.00","22.00","22.02"
"24/03/2020 1:20:35 PM","375.20","20.59","23.00","22.00","22.02"
"24/03/2020 1:15:35 PM","381.20","20.57","25.00","21.00","22.02"
"24/03/2020 1:10:35 PM","369.60","20.53","25.00","21.00","22.02"
"24/03/2020 1:05:35 PM","388.00","20.49","25.00","21.00","22.02"
"24/03/2020 1:00:35 PM","368.00","20.44","25.00","21.00","22.02"
"24/03/2020 12:55:35 PM","383.80","20.40","25.00","21.00","22.02"
"24/03/2020 12:50:35 PM","375.40","20.36","25.00","21.00","22.02"
"24/03/2020 12:45:35 PM","380.00","20.31","25.00","21.00","22.02"
"24/03/2020 12:40:35 PM","365.00","20.26","25.00","21.00","22.02"
"24/03/2020 12:35:35 PM","383.80","20.21","25.00","21.00","22.02"
"24/03/2020 12:30:35 PM","376.80","20.16","25.00","21.00","22.02"
"24/03/2020 12:25:35 PM","375.00","20.10","25.00","21.00","22.02"
"24/03/2020 12:20:35 PM","377.60","20.04","25.00","21.00","22.02"
"24/03/2020 12:15:35 PM","376.00","19.98","25.00","21.00","22.02"
"24/03/2020 12:10:35 PM","388.20","19.91","25.00","21.00","22.02"
"24/03/2020 12:05:35 PM","382.20","19.85","25.00","21.00","22.02"
"24/03/2020 12:00:35 PM","374.80","19.79","25.00","21.00","22.02"
"24/03/2020 11:55:35 AM","377.20","19.73","25.00","21.00","22.02"
"24/03/2020 11:50:35 AM","374.60","19.70","25.00","21.00","22.02"
"24/03/2020 11:45:35 AM","372.80","19.67","25.00","21.00","22.02"
"24/03/2020 11:40:35 AM","376.20","19.67","25.00","21.00","22.02"
"24/03/2020 11:35:35 AM","383.80","19.63","25.00","21.00","22.02"
"24/03/2020 11:30:35 AM","383.80","19.59","25.00","21.00","22.02"
"24/03/2020 11:25:35 AM","365.40","19.55","25.00","21.00","22.02"
"24/03/2020 11:20:35 AM","377.60","19.50","25.00","21.00","22.02"
"24/03/2020 11:15:35 AM","377.60","19.46","25.00","21.00","22.02"
"24/03/2020 11:10:35 AM","384.00","19.43","25.00","21.00","22.02"
"24/03/2020 11:05:35 AM","378.80","19.39","25.00","21.00","22.02"
"24/03/2020 11:00:35 AM","389.80","19.33","25.00","21.00","22.02"
"24/03/2020 10:55:35 AM","383.80","19.27","25.00","21.00","22.02"
