"Timestamp","FCU-00-26 PIR Log","FCU-00-26 Enable Log","FCU-00-26 Status Log"
"24/03/2020 5:00:48 AM","1.00","1.00","1.00"
"24/03/2020 5:00:44 AM","1.00","1.00","0.00"
"24/03/2020 4:54:32 AM","1.00","0.00","0.00"
"24/03/2020 12:33:16 AM","0.00","0.00","0.00"
"24/03/2020 12:33:14 AM","0.00","0.00","1.00"
"24/03/2020 12:02:02 AM","0.00","1.00","1.00"
"23/03/2020 11:45:57 PM","1.00","1.00","1.00"
"23/03/2020 11:43:16 PM","0.00","1.00","1.00"
"23/03/2020 6:06:18 PM","1.00","1.00","1.00"
"23/03/2020 6:06:14 PM","1.00","1.00","0.00"
"23/03/2020 6:00:16 PM","1.00","0.00","0.00"
"23/03/2020 6:00:14 PM","1.00","0.00","1.00"
"23/03/2020 5:03:09 AM","1.00","1.00","1.00"
"23/03/2020 4:58:06 AM","0.00","1.00","1.00"
"23/03/2020 4:40:17 AM","1.00","1.00","1.00"
"23/03/2020 4:40:14 AM","1.00","1.00","0.00"
"23/03/2020 4:34:07 AM","1.00","0.00","0.00"
"23/03/2020 12:14:36 AM","0.00","0.00","0.00"
"23/03/2020 12:14:34 AM","0.00","0.00","1.00"
"22/03/2020 11:43:19 PM","0.00","1.00","1.00"
"22/03/2020 6:49:38 AM","1.00","1.00","1.00"
"22/03/2020 6:49:34 AM","1.00","1.00","0.00"
"22/03/2020 6:43:21 AM","1.00","0.00","0.00"
"22/03/2020 4:29:16 AM","0.00","0.00","0.00"
"22/03/2020 4:29:14 AM","0.00","0.00","1.00"
"22/03/2020 3:57:59 AM","0.00","1.00","1.00"
"22/03/2020 3:49:18 AM","1.00","1.00","1.00"
"22/03/2020 3:49:14 AM","1.00","1.00","0.00"
"22/03/2020 3:43:00 AM","1.00","0.00","0.00"
"22/03/2020 12:14:36 AM","0.00","0.00","0.00"
"22/03/2020 12:14:34 AM","0.00","0.00","1.00"
"21/03/2020 11:43:22 PM","0.00","1.00","1.00"
"21/03/2020 6:49:37 AM","1.00","1.00","1.00"
"21/03/2020 6:49:34 AM","1.00","1.00","0.00"
"21/03/2020 6:43:24 AM","1.00","0.00","0.00"
"21/03/2020 6:24:06 AM","0.00","0.00","0.00"
"21/03/2020 6:24:04 AM","0.00","0.00","1.00"
"21/03/2020 5:52:52 AM","0.00","1.00","1.00"
"21/03/2020 5:44:07 AM","1.00","1.00","1.00"
"21/03/2020 5:44:04 AM","1.00","1.00","0.00"
"21/03/2020 5:37:56 AM","1.00","0.00","0.00"
"21/03/2020 12:54:46 AM","0.00","0.00","0.00"
"21/03/2020 12:54:44 AM","0.00","0.00","1.00"
"21/03/2020 12:23:29 AM","0.00","1.00","1.00"
"21/03/2020 12:07:15 AM","1.00","1.00","1.00"
"20/03/2020 11:43:25 PM","0.00","1.00","1.00"
"20/03/2020 6:06:18 PM","1.00","1.00","1.00"
"20/03/2020 6:06:14 PM","1.00","1.00","0.00"
"20/03/2020 6:00:16 PM","1.00","0.00","0.00"
"20/03/2020 6:00:14 PM","1.00","0.00","1.00"
"20/03/2020 5:10:42 AM","1.00","1.00","1.00"
"20/03/2020 4:57:53 AM","0.00","1.00","1.00"
"20/03/2020 4:41:37 AM","1.00","1.00","1.00"
"20/03/2020 4:41:34 AM","1.00","1.00","0.00"
"20/03/2020 4:35:32 AM","1.00","0.00","0.00"
"20/03/2020 1:11:45 AM","0.00","0.00","0.00"
"20/03/2020 1:11:44 AM","0.00","0.00","1.00"
"20/03/2020 12:40:36 AM","0.00","1.00","1.00"
"20/03/2020 12:24:36 AM","1.00","1.00","1.00"
"20/03/2020 12:08:58 AM","0.00","1.00","1.00"
"19/03/2020 11:53:01 PM","1.00","1.00","1.00"
"19/03/2020 11:48:13 PM","0.00","1.00","1.00"
"19/03/2020 6:06:18 PM","1.00","1.00","1.00"
"19/03/2020 6:06:14 PM","1.00","1.00","0.00"
"19/03/2020 6:00:16 PM","1.00","0.00","0.00"
"19/03/2020 6:00:14 PM","1.00","0.00","1.00"
"19/03/2020 6:43:30 AM","1.00","1.00","1.00"
"19/03/2020 6:39:32 AM","0.00","1.00","1.00"
"19/03/2020 5:31:01 AM","1.00","1.00","1.00"
"19/03/2020 5:23:58 AM","0.00","1.00","1.00"
