"Timestamp","FCU-00-23 PIR Log","FCU-00-23 Enable Log","FCU-00-23 Status Log"
"24/03/2020 2:04:56 PM","0.00","0.00","0.00"
"24/03/2020 2:04:49 PM","0.00","0.00","1.00"
"24/03/2020 1:33:34 PM","0.00","1.00","1.00"
"24/03/2020 1:28:11 PM","1.00","1.00","1.00"
"24/03/2020 1:28:09 PM","1.00","1.00","0.00"
"24/03/2020 1:28:01 PM","1.00","0.00","0.00"
"24/03/2020 12:16:42 PM","0.00","0.00","0.00"
"24/03/2020 12:16:39 PM","0.00","0.00","1.00"
"24/03/2020 12:16:32 PM","0.00","1.00","1.00"
"24/03/2020 12:16:29 PM","0.00","1.00","0.00"
"24/03/2020 12:16:07 PM","0.00","0.00","0.00"
"24/03/2020 12:15:59 PM","0.00","0.00","1.00"
"24/03/2020 12:15:49 PM","0.00","1.00","0.00"
"24/03/2020 12:15:46 PM","0.00","0.00","0.00"
"24/03/2020 12:15:39 PM","0.00","0.00","1.00"
"24/03/2020 12:15:20 PM","0.00","1.00","1.00"
"24/03/2020 12:15:19 PM","0.00","1.00","0.00"
"24/03/2020 12:15:16 PM","0.00","0.00","0.00"
"24/03/2020 12:15:09 PM","0.00","0.00","1.00"
"24/03/2020 12:15:05 PM","0.00","1.00","1.00"
"24/03/2020 12:14:59 PM","0.00","1.00","0.00"
"24/03/2020 12:14:57 PM","0.00","0.00","0.00"
"24/03/2020 12:14:49 PM","0.00","0.00","1.00"
"24/03/2020 12:14:12 PM","0.00","1.00","1.00"
"24/03/2020 12:14:09 PM","0.00","1.00","0.00"
"24/03/2020 12:13:56 PM","0.00","0.00","0.00"
"24/03/2020 12:13:49 PM","0.00","0.00","1.00"
"24/03/2020 12:13:48 PM","0.00","1.00","1.00"
"24/03/2020 12:13:39 PM","0.00","1.00","0.00"
"24/03/2020 12:08:27 PM","0.00","0.00","0.00"
"24/03/2020 12:08:19 PM","0.00","0.00","1.00"
"24/03/2020 11:37:05 AM","0.00","1.00","1.00"
"24/03/2020 11:31:33 AM","1.00","1.00","1.00"
"24/03/2020 11:19:01 AM","0.00","1.00","1.00"
"24/03/2020 10:40:47 AM","1.00","1.00","1.00"
"24/03/2020 10:15:44 AM","0.00","1.00","1.00"
"24/03/2020 10:10:42 AM","1.00","1.00","1.00"
"24/03/2020 10:00:31 AM","0.00","1.00","1.00"
"24/03/2020 9:55:23 AM","1.00","1.00","1.00"
"24/03/2020 9:53:30 AM","0.00","1.00","1.00"
"24/03/2020 9:48:25 AM","1.00","1.00","1.00"
"24/03/2020 9:00:10 AM","0.00","1.00","1.00"
"24/03/2020 8:51:15 AM","1.00","1.00","1.00"
"24/03/2020 8:11:37 AM","0.00","1.00","1.00"
"24/03/2020 7:43:59 AM","1.00","1.00","1.00"
"24/03/2020 6:14:54 AM","0.00","1.00","1.00"
"24/03/2020 5:56:14 AM","1.00","1.00","1.00"
"24/03/2020 5:45:18 AM","0.00","1.00","1.00"
"24/03/2020 5:45:09 AM","0.00","1.00","0.00"
"23/03/2020 6:45:53 PM","0.00","0.00","0.00"
"23/03/2020 6:45:49 PM","0.00","0.00","1.00"
"23/03/2020 6:14:41 PM","0.00","1.00","1.00"
"23/03/2020 6:06:11 PM","1.00","1.00","1.00"
"23/03/2020 6:06:09 PM","1.00","1.00","0.00"
"23/03/2020 6:00:15 PM","1.00","0.00","0.00"
"23/03/2020 6:00:09 PM","1.00","0.00","1.00"
"23/03/2020 12:10:07 PM","1.00","1.00","1.00"
"23/03/2020 11:52:37 AM","0.00","1.00","1.00"
"23/03/2020 8:35:38 AM","1.00","1.00","1.00"
