"Timestamp","FCU-00-16 PIR Log","FCU-00-16 Enable Log","FCU-00-16 Status Log"
"24/03/2020 2:17:55 PM","0.00","1.00","1.00"
"24/03/2020 2:09:54 PM","1.00","1.00","1.00"
"24/03/2020 2:08:54 PM","0.00","1.00","1.00"
"24/03/2020 1:58:55 PM","1.00","1.00","1.00"
"24/03/2020 1:56:42 PM","0.00","1.00","1.00"
"24/03/2020 1:30:06 PM","1.00","1.00","1.00"
"24/03/2020 1:29:34 PM","0.00","1.00","1.00"
"24/03/2020 1:16:28 PM","1.00","1.00","1.00"
"24/03/2020 1:16:22 PM","0.00","1.00","1.00"
"24/03/2020 1:11:21 PM","1.00","1.00","1.00"
"24/03/2020 1:03:20 PM","0.00","1.00","1.00"
"24/03/2020 12:45:13 PM","1.00","1.00","1.00"
"24/03/2020 12:45:08 PM","0.00","1.00","1.00"
"24/03/2020 12:38:13 PM","1.00","1.00","1.00"
"24/03/2020 12:29:07 PM","0.00","1.00","1.00"
"24/03/2020 12:23:34 PM","1.00","1.00","1.00"
"24/03/2020 12:17:37 PM","0.00","1.00","1.00"
"24/03/2020 12:09:43 PM","1.00","1.00","1.00"
"24/03/2020 11:59:45 AM","0.00","1.00","1.00"
"24/03/2020 11:47:13 AM","1.00","1.00","1.00"
"24/03/2020 11:47:12 AM","1.00","1.00","0.00"
"24/03/2020 11:47:10 AM","1.00","1.00","1.00"
"24/03/2020 11:47:09 AM","1.00","1.00","0.00"
"24/03/2020 11:46:08 AM","1.00","1.00","1.00"
"24/03/2020 11:46:05 AM","1.00","1.00","1.00"
"24/03/2020 11:46:04 AM","1.00","1.00","0.00"
"24/03/2020 11:45:57 AM","1.00","1.00","1.00"
"24/03/2020 11:45:55 AM","1.00","1.00","0.00"
"24/03/2020 11:45:37 AM","1.00","1.00","1.00"
"24/03/2020 11:45:32 AM","1.00","1.00","0.00"
"24/03/2020 10:18:15 AM","1.00","1.00","1.00"
"24/03/2020 10:15:48 AM","0.00","1.00","1.00"
"24/03/2020 10:05:39 AM","1.00","1.00","1.00"
"24/03/2020 10:03:09 AM","0.00","1.00","1.00"
"24/03/2020 9:58:08 AM","1.00","1.00","1.00"
"24/03/2020 9:57:52 AM","0.00","1.00","1.00"
"24/03/2020 9:25:13 AM","1.00","1.00","1.00"
"24/03/2020 9:22:19 AM","0.00","1.00","1.00"
"24/03/2020 9:14:25 AM","1.00","1.00","1.00"
"24/03/2020 9:14:23 AM","1.00","1.00","1.00"
"24/03/2020 9:14:22 AM","1.00","1.00","1.00"
"24/03/2020 9:14:21 AM","1.00","1.00","0.00"
"24/03/2020 9:14:05 AM","1.00","1.00","1.00"
"24/03/2020 9:13:57 AM","1.00","1.00","0.00"
"24/03/2020 9:13:52 AM","1.00","0.00","0.00"
"24/03/2020 5:47:38 AM","0.00","0.00","0.00"
"24/03/2020 5:47:37 AM","0.00","0.00","1.00"
"24/03/2020 5:33:16 AM","0.00","1.00","1.00"
"24/03/2020 5:33:15 AM","0.00","1.00","0.00"
"24/03/2020 5:32:48 AM","0.00","1.00","1.00"
"24/03/2020 5:32:44 AM","0.00","1.00","0.00"
"24/03/2020 5:16:34 AM","0.00","1.00","1.00"
"24/03/2020 5:08:40 AM","1.00","1.00","1.00"
"24/03/2020 5:08:37 AM","1.00","1.00","0.00"
"24/03/2020 5:02:28 AM","1.00","0.00","0.00"
"23/03/2020 6:17:50 PM","0.00","0.00","0.00"
"23/03/2020 6:12:49 PM","1.00","0.00","0.00"
"23/03/2020 6:00:13 PM","0.00","0.00","0.00"
"23/03/2020 6:00:07 PM","0.00","0.00","1.00"
"23/03/2020 5:49:30 PM","0.00","1.00","1.00"
"23/03/2020 3:28:10 PM","1.00","1.00","1.00"
"23/03/2020 3:27:57 PM","0.00","1.00","1.00"
"23/03/2020 3:06:43 PM","1.00","1.00","1.00"
"23/03/2020 3:05:33 PM","0.00","1.00","1.00"
"23/03/2020 12:28:12 PM","1.00","1.00","1.00"
"23/03/2020 12:28:07 PM","1.00","1.00","0.00"
"23/03/2020 10:44:24 AM","1.00","1.00","1.00"
"23/03/2020 10:39:46 AM","1.00","1.00","1.00"
"23/03/2020 10:39:40 AM","1.00","1.00","1.00"
"23/03/2020 10:39:39 AM","1.00","1.00","0.00"
"23/03/2020 10:35:57 AM","1.00","1.00","1.00"
"23/03/2020 9:10:48 AM","1.00","1.00","1.00"
"23/03/2020 9:01:05 AM","0.00","1.00","1.00"
"23/03/2020 7:37:35 AM","1.00","1.00","1.00"
"23/03/2020 7:37:27 AM","1.00","1.00","1.00"
"23/03/2020 7:37:17 AM","1.00","1.00","0.00"
"23/03/2020 7:37:15 AM","1.00","0.00","0.00"
"23/03/2020 5:06:08 AM","0.00","0.00","0.00"
"23/03/2020 5:05:57 AM","0.00","0.00","1.00"
"23/03/2020 4:34:53 AM","0.00","1.00","1.00"
"23/03/2020 4:32:52 AM","1.00","1.00","1.00"
"23/03/2020 4:29:00 AM","1.00","1.00","1.00"
"23/03/2020 4:28:57 AM","1.00","1.00","0.00"
"23/03/2020 4:22:54 AM","1.00","0.00","0.00"
"20/03/2020 9:05:30 PM","0.00","0.00","0.00"
"20/03/2020 9:05:27 PM","0.00","0.00","1.00"
"20/03/2020 8:50:48 PM","0.00","1.00","1.00"
"20/03/2020 8:44:46 PM","0.00","1.00","1.00"
"20/03/2020 8:43:18 PM","0.00","1.00","1.00"
"20/03/2020 8:42:41 PM","0.00","1.00","1.00"
"20/03/2020 8:39:07 PM","0.00","1.00","1.00"
"20/03/2020 8:37:51 PM","0.00","1.00","1.00"
"20/03/2020 8:36:27 PM","0.00","1.00","1.00"
"20/03/2020 8:36:25 PM","0.00","1.00","1.00"
"20/03/2020 8:35:48 PM","0.00","1.00","1.00"
"20/03/2020 8:34:52 PM","0.00","1.00","1.00"
"20/03/2020 8:34:50 PM","0.00","1.00","1.00"
"20/03/2020 8:34:47 PM","0.00","1.00","0.00"
"20/03/2020 8:34:21 PM","0.00","0.00","0.00"
"20/03/2020 8:28:41 PM","1.00","0.00","0.00"
"20/03/2020 6:00:14 PM","0.00","0.00","0.00"
"20/03/2020 6:00:07 PM","0.00","0.00","1.00"
"20/03/2020 5:31:52 PM","0.00","1.00","1.00"
"20/03/2020 4:36:54 PM","1.00","1.00","1.00"
"20/03/2020 4:36:41 PM","0.00","1.00","1.00"
"20/03/2020 2:17:42 PM","1.00","1.00","1.00"
"20/03/2020 2:14:33 PM","1.00","1.00","1.00"
"20/03/2020 2:11:07 PM","1.00","1.00","1.00"
"20/03/2020 1:56:48 PM","1.00","1.00","1.00"
"20/03/2020 1:56:47 PM","1.00","1.00","0.00"
"20/03/2020 1:52:19 PM","1.00","1.00","1.00"
"20/03/2020 1:52:16 PM","1.00","1.00","1.00"
"20/03/2020 1:52:06 PM","1.00","1.00","1.00"
"20/03/2020 1:49:31 PM","1.00","1.00","1.00"
"20/03/2020 1:46:31 PM","1.00","1.00","1.00"
"20/03/2020 1:46:30 PM","1.00","1.00","0.00"
"20/03/2020 1:46:18 PM","1.00","1.00","1.00"
"20/03/2020 1:44:24 PM","1.00","1.00","1.00"
"20/03/2020 1:31:57 PM","1.00","1.00","1.00"
"20/03/2020 1:31:56 PM","1.00","1.00","0.00"
"20/03/2020 1:31:13 PM","1.00","1.00","1.00"
"20/03/2020 1:22:53 PM","1.00","1.00","1.00"
"20/03/2020 1:22:47 PM","1.00","1.00","0.00"
"20/03/2020 11:12:04 AM","0.00","0.00","0.00"
"20/03/2020 11:11:57 AM","0.00","0.00","1.00"
"20/03/2020 10:40:43 AM","0.00","1.00","1.00"
"20/03/2020 9:33:46 AM","1.00","1.00","1.00"
"20/03/2020 9:32:56 AM","0.00","1.00","1.00"
"20/03/2020 9:23:35 AM","1.00","1.00","1.00"
"20/03/2020 7:36:02 AM","0.00","1.00","1.00"
"20/03/2020 7:35:51 AM","0.00","1.00","1.00"
"20/03/2020 7:35:32 AM","0.00","1.00","1.00"
"20/03/2020 7:35:29 AM","0.00","1.00","0.00"
"20/03/2020 7:35:07 AM","0.00","1.00","1.00"
"20/03/2020 7:35:05 AM","0.00","1.00","0.00"
"20/03/2020 6:52:20 AM","0.00","1.00","1.00"
"20/03/2020 6:51:33 AM","0.00","1.00","1.00"
"20/03/2020 6:50:58 AM","0.00","1.00","1.00"
"20/03/2020 6:50:57 AM","0.00","1.00","0.00"
"20/03/2020 6:50:39 AM","0.00","1.00","1.00"
"20/03/2020 6:42:10 AM","0.00","1.00","1.00"
"20/03/2020 6:42:09 AM","0.00","1.00","0.00"
"20/03/2020 6:42:03 AM","0.00","1.00","1.00"
"20/03/2020 6:41:35 AM","0.00","1.00","1.00"
"20/03/2020 6:41:26 AM","0.00","1.00","1.00"
"20/03/2020 6:41:01 AM","0.00","1.00","1.00"
"20/03/2020 6:40:21 AM","0.00","1.00","1.00"
"20/03/2020 6:40:11 AM","0.00","1.00","1.00"
"20/03/2020 6:40:04 AM","0.00","1.00","1.00"
"20/03/2020 6:39:55 AM","0.00","1.00","1.00"
"20/03/2020 6:39:54 AM","0.00","1.00","0.00"
