"Timestamp","FCU-00-02 CO2 Extended Trend Log","FCU-00-02 SaTmp Extended Trend Log","FCU-00-02 ClgTmpSp Extended Trend Log","FCU-00-02 HtgTmpSp Extended Trend Log","FCU-00-02 ZnTmp Extended Trend Log"
"23/03/2020 6:15:35 PM","635.40","21.61","25.00","21.00","21.73"
"23/03/2020 6:10:35 PM","619.40","21.64","25.00","21.00","21.74"
"23/03/2020 6:05:35 PM","622.80","21.67","25.00","21.00","21.74"
"23/03/2020 6:00:35 PM","612.40","21.70","25.00","21.00","21.75"
"23/03/2020 5:55:35 PM","607.60","21.73","25.00","21.00","21.75"
"23/03/2020 5:50:35 PM","617.40","21.77","25.00","21.00","21.75"
"23/03/2020 5:45:35 PM","599.60","21.81","25.00","21.00","21.75"
"23/03/2020 5:40:35 PM","618.00","21.85","25.00","21.00","21.75"
"23/03/2020 5:35:35 PM","588.20","21.89","25.00","21.00","21.75"
"23/03/2020 5:30:35 PM","601.00","21.92","25.00","21.00","21.76"
"23/03/2020 5:25:35 PM","631.80","21.97","25.00","21.00","21.76"
"23/03/2020 5:20:35 PM","625.80","22.02","25.00","21.00","21.77"
"23/03/2020 5:15:35 PM","606.80","22.07","25.00","21.00","21.77"
"23/03/2020 5:10:35 PM","613.00","22.13","25.00","21.00","21.77"
"23/03/2020 5:05:35 PM","634.20","22.18","25.00","21.00","21.77"
"23/03/2020 5:00:35 PM","625.40","22.23","25.00","21.00","21.78"
"23/03/2020 4:55:35 PM","622.40","22.29","25.00","21.00","21.78"
"23/03/2020 4:50:35 PM","598.60","22.36","25.00","21.00","21.79"
"23/03/2020 4:45:35 PM","636.80","22.43","25.00","21.00","21.78"
"23/03/2020 4:40:35 PM","614.40","22.51","25.00","21.00","21.79"
"23/03/2020 4:35:35 PM","633.40","22.59","25.00","21.00","21.79"
"23/03/2020 4:30:35 PM","625.60","22.68","25.00","21.00","21.79"
"23/03/2020 4:25:35 PM","638.20","22.77","25.00","21.00","21.79"
"23/03/2020 4:20:35 PM","640.80","22.87","25.00","21.00","21.79"
"23/03/2020 4:15:35 PM","639.20","22.99","25.00","21.00","21.79"
"23/03/2020 4:10:35 PM","612.20","23.11","25.00","21.00","21.79"
"23/03/2020 4:05:35 PM","625.60","23.24","25.00","21.00","21.79"
"23/03/2020 4:00:35 PM","641.60","23.37","25.00","21.00","21.80"
"23/03/2020 3:55:35 PM","625.80","23.52","25.00","21.00","21.80"
"23/03/2020 3:50:35 PM","642.60","23.68","25.00","21.00","21.81"
"23/03/2020 3:45:35 PM","627.60","23.86","25.00","21.00","21.82"
"23/03/2020 3:40:35 PM","623.00","24.09","25.00","21.00","21.84"
"23/03/2020 3:35:35 PM","605.60","24.07","23.00","22.00","21.83"
"23/03/2020 3:30:35 PM","634.40","24.24","23.00","22.00","21.82"
"23/03/2020 3:25:35 PM","621.20","24.39","23.00","22.00","21.79"
"23/03/2020 3:20:35 PM","638.40","24.55","23.00","22.00","21.76"
"23/03/2020 3:15:35 PM","642.20","24.75","23.00","22.00","21.71"
